№,ОКТМО,Регион,Код_региона (ОКТМО),Тип_МО,Код_типа_МО,Наименование_МО,Код_наименования_МО,Тип_НП_МО,"Наименование ГО, наслега",тип НП (сокр),тип НП,Наименование НП,ОКТМО.1,Население (на 2023 год),тип населения,Геопозиция (широта),Геопозиция (долгота),Unnamed: 18,Сумма населения,1063586,Тип,в процентах,Unnamed: 23,Количество ошибок геопозиции,0,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
166,98618408106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Баппагайинский наслег,с,село,Арылах,98618408106,0,2,62.6786111111111,124.536388888889,,,,,,,,,,,,
167,98618408111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Баппагайинский наслег,с,село,Сортол,98618408111,0,2,62.81596356,124.68755208,,,,,,,,,,,,
168,98618412101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Бекчегинский наслег,с,село,Бетюнг,98618412101,407,2,63.7069444444444,122.345833333333,,,,,,,,,,,,
169,98618416101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Борогонский наслег,с,село,Чай,98618416101,430,2,63.8427777777778,123.545555555556,,,,,,,,,,,,
170,98618418101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Екюндюнский наслег,с,село,Екюндю,98618418101,277,2,63.7802777777778,122.152777777778,,,,,,,,,,,,
171,98618420101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Жемконский наслег,с,село,Эбя,98618420101,454,2,63.4886111111111,123.1775,,,,,,,,,,,,
172,98618426101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Кыргыдайский наслег,с,село,Сатагай,98618426101,518,2,64.4797222222222,122.707222222222,,,,,,,,,,,,
173,98618430101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Кюлетский 1-й наслег,с,село,Усун,98618430101,801,2,64.5183333333333,121.049166666667,,,,,,,,,,,,
174,98618431101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Кюлетский 2-й наслег,с,село,Кюлекянь,98618431101,375,2,64.8316666666667,120.915277777778,,,,,,,,,,,,
175,98618433101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Лекеченский наслег,с,село,Лёкёчён,98618433101,436,2,63.0613888888889,123.980555555556,,,,,,,,,,,,
176,98618435101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Первый Тогусский наслег,с,село,Тымпы,98618435101,483,2,63.8338888888889,123.381944444444,,,,,,,,,,,,
177,98618445101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Тасагарский наслег,с,село,Тасагар,98618445101,555,2,63.7669444444444,122.686388888889,,,,,,,,,,,,
178,98618449101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Тогусский наслег,с,село,Балагаччы,98618449101,554,2,64.3894444444445,122.233055555556,,,,,,,,,,,,
179,98618449106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Тогусский наслег,с,село,Сеят,98618449106,0,2,64.42240123,122.03096352,,,,,,,,,,,,
180,98618453101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Тылгынинский наслег,с,село,Тербяс,98618453101,626,2,64.3730555555556,120.544722222222,,,,,,,,,,,,
181,98618458101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Хагынский наслег,с,село,Кирово,98618458101,389,2,64.545,122.241944444444,,,,,,,,,,,,
182,98618462101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Халбакинский наслег,с,село,Тосу,98618462101,813,2,63.8777777777778,121.611666666667,,,,,,,,,,,,
183,98618462106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Халбакинский наслег,с,село,Староватово,98618462106,71,2,63.7836111111111,121.624444444444,,,,,,,,,,,,
184,98618466101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Чернышевский наслег,с,село,Чинеке,98618466101,868,2,63.715,121.941111111111,,,,,,,,,,,,
185,98618470101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Чочунский наслег,с,село,Сыдыбыл,98618470101,742,2,63.5963888888889,121.4775,,,,,,,,,,,,
186,98618470106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Чочунский наслег,с,село,Кюнде,98618470106,207,2,63.6,121.36,,,,,,,,,,,,
187,98618474101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Вилюйский муниципальный район,98618000,Сельские поселения Вилюйского муниципального района,Югюлятский наслег,с,село,Кюбяинде,98618474101,560,2,64.6233333333333,120.175277777778,,,,,,,,,,,,
188,98620405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Атамайский наслег,с,село,Бясь-Кюель,98620405101,695,2,62.7672222222222,127.085,,,,,,,,,,,,
189,98620410101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Бердигестяхский наслег,с,село,Бердигестях,98620410101,6956,2,62.0947222222222,126.696666666667,,,,,,,,,,,,
190,98620410106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Бердигестяхский наслег,с,село,Май,98620410106,8,2,62.0261111111111,126.674166666667,,,,,,,,,,,,
191,98620417101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Кировский наслег,с,село,Асыма,98620417101,608,2,62.3625,126.64,,,,,,,,,,,,
192,98620417106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Кировский наслег,с,село,Чекя-Бясь,98620417106,0,2,62.2380555555556,126.660555555556,,,,,,,,,,,,
193,98620426101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Маганинский наслег,с,село,Орто-Сурт,98620426101,591,2,62.5661111111111,125.122777777778,,,,,,,,,,,,
194,98620433101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Малтанинский наслег,с,село,Кептин,98620433101,612,2,62.3408333333333,124.449722222222,,,,,,,,,,,,
195,98620433106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Малтанинский наслег,с,село,Тонгулах,98620433106,15,2,61.9583333333333,124.529444444444,,,,,,,,,,,,
196,98620433111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Малтанинский наслег,с,село,Тысагаччы,98620433111,0,2,62.3297222222222,124.636666666667,,,,,,,,,,,,
197,98620440101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Мытахский наслег,с,село,Дикимдя,98620440101,653,2,61.8858333333333,126.528055555556,,,,,,,,,,,,
198,98620440106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Мытахский наслег,с,село,Эбя,98620440106,7,2,61.8677777777778,126.6525,,,,,,,,,,,,
199,98620449101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Одунунский наслег,с,село,Магарас,98620449101,1006,2,62.1472222222222,128.061388888889,,,,,,,,,,,,
200,98620449106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Одунунский наслег,с,село,Улу-Сысы,98620449106,5,2,62.6891666666667,128.438333333333,,,,,,,,,,,,
201,98620449111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Одунунский наслег,с,село,Харыялах,98620449111,9,2,62.1069444444444,128.366944444444,,,,,,,,,,,,
202,98620452101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Октябрьский наслег,с,село,Кюёрелях,98620452101,539,2,62.5711111111111,126.841944444444,,,,,,,,,,,,
203,98620465101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Горный муниципальный район,98620000,Сельские поселения Горного муниципального района,Шологонский наслег,с,село,Ерт,98620465101,529,2,62.0194444444444,125.793888888889,,,,,,,,,,,,
204,98622405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Жиганский национальный эвенкийский муниципальный район,98622000,Сельские поселения Жиганского национального эвенкийского муниципального района,Бестяхский наслег,с,село,Бестях,98622405101,129,2,65.2838888888889,124.128055555556,,,,,,,,,,,,
205,98622410101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Жиганский национальный эвенкийский муниципальный район,98622000,Сельские поселения Жиганского национального эвенкийского муниципального района,Жиганский эвенкийский национальный наслег,с,село,Жиганск,98622410101,3382,2,66.7675,123.374166666667,,,,,,,,,,,,
206,98622417101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Жиганский национальный эвенкийский муниципальный район,98622000,Сельские поселения Жиганского национального эвенкийского муниципального района,Эвенкийское сельское поселение “Кыстатыам”,с,село,Кыстатыам,98622417101,408,2,67.3213888888889,123.344166666667,,,,,,,,,,,,
207,98622422101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Жиганский национальный эвенкийский муниципальный район,98622000,Сельские поселения Жиганского национального эвенкийского муниципального района,Линдинский эвенкийский национальный наслег,с,село,Баханай,98622422101,260,2,66.0166666666667,123.654722222222,,,,,,,,,,,,
208,0,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Жиганский национальный эвенкийский муниципальный район,98622000,Межселенные территории Жиганского национального эвенкийского муниципального района,"Межселенная территория Жиганского национального эвенкийского муниципального района, включая территорию участка Джарджан",0,0,0,0,0,2,,,,,,,,,,,,,,
209,98624151051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Городские поселения Кобяйского муниципального района,поселок Сангар,п,поселок,Сангар,98624151051,3270,1,63.9194444444444,127.485833333333,,,,,,,,,,,,
210,98624151106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Городские поселения Кобяйского муниципального района,поселок Сангар,с,село,Авиапорт,98624151106,152,2,63.9563888888889,127.443611111111,,,,,,,,,,,,
211,98624151111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Городские поселения Кобяйского муниципального района,поселок Сангар,с,село,Смородичный,98624151111,0,2,63.89,127.52,,,,,,,,,,,,
212,98624405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Арыктахский наслег,с,село,Арыктах,98624405101,342,2,63.5677777777778,125.236666666667,,,,,,,,,,,,
213,98624405106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Арыктахский наслег,с,село,Люксюгюн,98624405106,228,2,63.7183333333333,124.975,,,,,,,,,,,,
214,98624405111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Арыктахский наслег,с,село,Хатырык-Хомо,98624405111,0,2,63.9516666666667,124.826666666667,,,,,,,,,,,,
215,98624414101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Кировский эвенский национальный наслег,с,село,Сегян-Кюёль,98624414101,242,2,64.0030555555556,130.309444444444,,,,,,,,,,,,
216,98624414106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Кировский эвенский национальный наслег,с,село,Батамай,98624414106,210,2,63.5247222222222,129.418611111111,,,,,,,,,,,,
217,98624419101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Кобяйский наслег,с,село,Кобяй,98624419101,2172,2,63.5761111111111,126.495833333333,,,,,,,,,,,,
218,98624419106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Кобяйский наслег,с,село,Ойун-Унгуохтах,98624419106,0,2,63.8336111111111,126.556111111111,,,,,,,,,,,,
219,98624419111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Кобяйский наслег,с,село,Сага,98624419111,0,2,63.7336111111111,126.445,,,,,,,,,,,,
220,98624424101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Куокуйский наслег,с,село,Аргас,98624424101,556,2,63.9633333333333,126.621944444444,,,,,,,,,,,,
221,98624424106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Куокуйский наслег,с,село,Кальвица,98624424106,149,2,63.9388888888889,127.025,,,,,,,,,,,,
222,98624429101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Ламынхинский эвенский национальный наслег,с,село,Себян-Кюёль,98624429101,774,2,65.2886111111111,130.008055555556,,,,,,,,,,,,
223,98624434101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Люччегинский 1-й наслег,с,село,Багадя,98624434101,180,2,63.7133333333333,123.775555555556,,,,,,,,,,,,
224,98624434106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Люччегинский 1-й наслег,с,село,Арылах,98624434106,125,2,63.7627777777778,123.962222222222,,,,,,,,,,,,
225,98624435101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Люччегинский 2-й наслег,с,село,Мастах,98624435101,465,2,63.7219444444444,124.191666666667,,,,,,,,,,,,
226,98624435106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Люччегинский 2-й наслег,с,село,Быранатталах,98624435106,0,2,63.6808333333333,124.4025,,,,,,,,,,,,
227,98624435111,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Люччегинский 2-й наслег,с,село,Мастах 2-й,98624435111,0,2,63.7433333333333,124.221666666667,,,,,,,,,,,,
228,98624440101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Мукучунский наслег,с,село,Сайылык,98624440101,1128,2,63.8563888888889,123.843888888889,,,,,,,,,,,,
229,98624445101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Нижилинский наслег,с,село,Чагда,98624445101,527,2,63.3777777777778,125.513333333333,,,,,,,,,,,,
230,98624450101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Ситтинский наслег,с,село,Ситте,98624450101,469,2,63.4883333333333,128.035277777778,,,,,,,,,,,,
231,98624455101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Сельские поселения Кобяйского муниципального района,Тыайинский наслег,с,село,Тыайа,98624455101,454,2,63.6894444444444,125.964722222222,,,,,,,,,,,,
232,0,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Кобяйский муниципальный район,98624000,Межселенные территории Кобяйского муниципального района,"Межселенная территория Кобяйского муниципального района, находящаяся вне границ городского и сельских поселений",0,0,0,0,0,2,,,,,,,,,,,,,,
233,98626101001,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Городские поселения Нюрбинского муниципального района,город Нюрба,г,город,Нюрба,98626101001,10055,1,63.2825,118.340833333333,,,,,,,,,,,,
234,98626405101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Аканинский наслег,с,село,Акана,98626405101,396,2,63.5969444444444,119.093888888889,,,,,,,,,,,,
235,98626405106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Аканинский наслег,с,село,Чкалов,98626405106,30,2,63.6983333333333,119.264722222222,,,,,,,,,,,,
236,98626410101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Бордонский наслег,с,село,Малыкай,98626410101,1697,2,63.5061111111111,117.033888888889,,,,,,,,,,,,
237,98626413101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Дикимдинский наслег,с,село,Дикимдя,98626413101,333,2,63.3833333333333,118.341944444444,,,,,,,,,,,,
238,98626414101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Едейский наслег,с,село,Едей,98626414101,186,2,63.6013888888889,119.440277777778,,,,,,,,,,,,
239,98626415101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Жарханский наслег,с,село,Жархан,98626415101,363,2,63.5186111111111,118.822777777778,,,,,,,,,,,,
240,98626420101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Кангаласский наслег,с,село,Ынахсыт,98626420101,582,2,63.5686111111111,119.205,,,,,,,,,,,,
241,98626425101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Кюндядинский наслег,с,село,Кюндяде,98626425101,789,2,63.2183333333333,118.144166666667,,,,,,,,,,,,
242,98626425106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Кюндядинский наслег,с,село,Арангастах,98626425106,24,2,63.1883333333333,117.876111111111,,,,,,,,,,,,
243,98626430101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Мальжагарский наслег,с,село,Бысыттах,98626430101,525,2,63.5777777777778,117.453333333333,,,,,,,,,,,,
244,98626435101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Мархинский наслег,с,село,Энгольжа,98626435101,484,2,63.6586111111111,118.275833333333,,,,,,,,,,,,
245,98626440101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Мегежекский наслег,с,село,Хаты,98626440101,431,2,63.6258333333333,116.673888888889,,,,,,,,,,,,
246,98626445101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Октябрьский наслег,с,село,Антоновка,98626445101,3102,2,63.2861111111111,118.400555555556,,,,,,,,,,,,
247,98626445106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Октябрьский наслег,с,село,Нефтебаза,98626445106,112,2,63.2725,118.464444444444,,,,,,,,,,,,
248,98626450101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Нюрбачанский наслег,с,село,Нюрбачан,98626450101,548,2,63.3347222222222,118.108055555556,,,,,,,,,,,,
249,98626452101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Сюлинский наслег,с,село,Сюля,98626452101,520,2,63.3341666666667,118.288611111111,,,,,,,,,,,,
250,98626455101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Таркайинский наслег,с,село,Хатын-Сысы,98626455101,635,2,63.5919444444444,118.845555555556,,,,,,,,,,,,
251,98626455106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Нюрбинский муниципальный район,98626000,Сельские поселения Нюрбинского муниципального района,Таркайинский наслег,с,село,Киров,98626455106,222,2,63.5844444444444,118.690833333333,,,,,,,,,,,,
