Район,Наслег,ОКТМО,Период,Река,Населенный пункт,Год затопления,Unnamed: 7,"Кол-во ошибок ""#н/д""",0
Хангаласский муниципальный район,Жерский наслег,98644409101,Весеннее половодье,Лена,Улах-Ан,2010,,,
Хангаласский муниципальный район,Октемский наслег,98644440101,Весеннее половодье,Лена,Октёмцы,2010,,,
Хангаласский муниципальный район,Октемский наслег,98644440101,Весеннее половодье,Лена,Октёмцы,2018,,,
Хангаласский муниципальный район,Техтюрский наслег,98644447101,Весеннее половодье,Лена,Техтюр,2010,,,
Мегино-Кангаласский муниципальный район,Рассолодинский наслег,98629447101,Весеннее половодье,Лена,Рассолода,2007,,,
Мегино-Кангаласский муниципальный район,Рассолодинский наслег,98629447101,Весеннее половодье,Лена,Рассолода,2010,,,
Мегино-Кангаласский муниципальный район,Рассолодинский наслег,98629447101,Весеннее половодье,Лена,Рассолода,2015,,,
Мегино-Кангаласский муниципальный район,Рассолодинский наслег,98629447101,Весеннее половодье,Лена,Рассолода,2018,,,
Мегино-Кангаласский муниципальный район,Хаптагайский наслег,98629460101,Весеннее половодье,Лена,Хаптагай,2007,,,
Мегино-Кангаласский муниципальный район,Хаптагайский наслег,98629460101,Весеннее половодье,Лена,Хаптагай,2010,,,
Мегино-Кангаласский муниципальный район,Хаптагайский наслег,98629460101,Весеннее половодье,Лена,Хаптагай,2015,,,
Мегино-Кангаласский муниципальный район,Хаптагайский наслег,98629460101,Весеннее половодье,Лена,Хаптагай,2018,,,
Мегино-Кангаласский муниципальный район,Хаптагайский наслег,98629460101,Весеннее половодье,Лена,Хаптагай,2020,,,
Мегино-Кангаласский муниципальный район,Нерюктяйинский наслег,98629445101,Весеннее половодье,Лена,Павловск,2010,,,
Мегино-Кангаласский муниципальный район,Нерюктяйинский наслег,98629445101,Весеннее половодье,Лена,Павловск,2015,,,
Мегино-Кангаласский муниципальный район,Нерюктяйинский наслег,98629445101,Весеннее половодье,Лена,Павловск,2018,,,
Мегино-Кангаласский муниципальный район,Нерюктяйинский наслег,98629445101,Весеннее половодье,Лена,Павловск,2020,,,
Мегино-Кангаласский муниципальный район,поселок Нижний Бестях,98629155051,Весеннее половодье,Лена,Нижний Бестях,2007,,,
Мегино-Кангаласский муниципальный район,поселок Нижний Бестях,98629155051,Весеннее половодье,Лена,Нижний Бестях,2010,,,
Мегино-Кангаласский муниципальный район,поселок Нижний Бестях,98629155051,Весеннее половодье,Лена,Нижний Бестях,2015,,,
Мегино-Кангаласский муниципальный район,поселок Нижний Бестях,98629155051,Весеннее половодье,Лена,Нижний Бестях,2018,,,
Мегино-Кангаласский муниципальный район,поселок Нижний Бестях,98629155051,Весеннее половодье,Лена,Нижний Бестях,2020,,,
Хангаласский муниципальный район,Техтюрский наслег,98644447101,Весеннее половодье,Лена,Техтюр,2007,,,
Хангаласский муниципальный район,Техтюрский наслег,98644447101,Весеннее половодье,Лена,Техтюр,2010,,,
Мегино-Кангаласский муниципальный район,Дойдунский наслег,98629413106,Весеннее половодье,Лена,Кердюген,2007,,,
Мегино-Кангаласский муниципальный район,Дойдунский наслег,98629413106,Весеннее половодье,Лена,Кердюген,2010,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Якутск,2001,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Якутск,2007,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Якутск,2008,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Якутск,2010,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Якутск,2011,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Якутск,2012,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Якутск,2013,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Якутск,2018,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Якутск,2020,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Якутск,2022,,,
Городской округ поселок Жатай,Жатай,98702000051,Весеннее половодье,Лена,Жатай,2020,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2018,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2020,,,
Городской округ Город Якутск,город Якутск,98701000116,Весеннее половодье,Лена,Табага,2001,,,
Городской округ Город Якутск,город Якутск,98701000116,Весеннее половодье,Лена,Табага,2010,,,
Городской округ Город Якутск,город Якутск,98701000116,Весеннее половодье,Лена,Табага,2015,,,
Городской округ Город Якутск,город Якутск,98701000116,Весеннее половодье,Лена,Табага,2018,,,
Городской округ Город Якутск,город Якутск,98701000116,Весеннее половодье,Лена,Табага,2020,,,
Городской округ Город Якутск,город Якутск,98701000121,Весеннее половодье,Лена,Тулагино,2001,,,
Городской округ Город Якутск,город Якутск,98701000121,Весеннее половодье,Лена,Тулагино,2007,,,
Городской округ Город Якутск,город Якутск,98701000121,Весеннее половодье,Лена,Тулагино,2010,,,
Городской округ Город Якутск,город Якутск,98701000121,Весеннее половодье,Лена,Тулагино,2011,,,
Городской округ Город Якутск,город Якутск,98701000121,Весеннее половодье,Лена,Тулагино,2013,,,
Городской округ Город Якутск,город Якутск,98701000121,Весеннее половодье,Лена,Тулагино,2022,,,
Городской округ Город Якутск,город Якутск,98701000136,Весеннее половодье,Лена,Сырдах,2001,,,
Городской округ Город Якутск,город Якутск,98701000136,Весеннее половодье,Лена,Сырдах,2007,,,
Городской округ Город Якутск,город Якутск,98701000136,Весеннее половодье,Лена,Сырдах,2010,,,
Городской округ Город Якутск,город Якутск,98701000126,Весеннее половодье,Лена,Капитоновка,2001,,,
Городской округ Город Якутск,город Якутск,98701000126,Весеннее половодье,Лена,Капитоновка,2007,,,
Городской округ Город Якутск,город Якутск,98701000126,Весеннее половодье,Лена,Капитоновка,2010,,,
Городской округ Город Якутск,город Якутск,98701000126,Весеннее половодье,Лена,Капитоновка,2011,,,
Городской округ Город Якутск,город Якутск,98701000126,Весеннее половодье,Лена,Капитоновка,2012,,,
Городской округ Город Якутск,город Якутск,98701000126,Весеннее половодье,Лена,Капитоновка,2013,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Кангалассы,2001,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Кангалассы,2010,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Кангалассы,2011,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Кангалассы,2020,,,
Городской округ Город Якутск,город Якутск,98701000001,Весеннее половодье,Лена,Кангалассы,2023,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2001,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2007,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2008,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2010,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2012,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2013,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2015,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2017,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2018,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2021,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2023,,,
Намский муниципальный район,Арбынский наслег,98635405101,Весеннее половодье,Лена,Сыгыннах,2024,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2001,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2006,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2007,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2008,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2010,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2011,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2012,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2013,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2015,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2022,,,
Намский муниципальный район,Едейский наслег,98635415101,Весеннее половодье,Лена,Ымыяхтах,2024,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455106,Весеннее половодье,Лена,Графский Берег,2001,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455106,Весеннее половодье,Лена,Графский Берег,2006,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455106,Весеннее половодье,Лена,Графский Берег,2007,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455106,Весеннее половодье,Лена,Графский Берег,2008,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455106,Весеннее половодье,Лена,Графский Берег,2010,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455106,Весеннее половодье,Лена,Графский Берег,2022,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455106,Весеннее половодье,Лена,Графский Берег,2024,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2001,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2006,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2007,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2010,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2011,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2015,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2017,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2020,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2022,,,
Намский муниципальный район,Хомустахский 2-й наслег,98635466101,Весеннее половодье,Лена,Хатас,2024,,,
Намский муниципальный район,Партизанский наслег,98635435101,Весеннее половодье,Лена,Партизан,2001,,,
Намский муниципальный район,Партизанский наслег,98635435101,Весеннее половодье,Лена,Партизан,2007,,,
Намский муниципальный район,Партизанский наслег,98635435101,Весеннее половодье,Лена,Партизан,2010,,,
Намский муниципальный район,Партизанский наслег,98635435101,Весеннее половодье,Лена,Партизан,2011,,,
Намский муниципальный район,Партизанский наслег,98635435101,Весеннее половодье,Лена,Партизан,2020,,,
Намский муниципальный район,Партизанский наслег,98635435101,Весеннее половодье,Лена,Партизан,2022,,,
Намский муниципальный район,Партизанский наслег,98635435101,Весеннее половодье,Лена,Партизан,2024,,,
Намский муниципальный район,Никольский наслег,98635432101,Весеннее половодье,Лена,Никольский,2001,,,
Намский муниципальный район,Никольский наслег,98635432101,Весеннее половодье,Лена,Никольский,2010,,,
Намский муниципальный район,Никольский наслег,98635432101,Весеннее половодье,Лена,Никольский,2024,,,
Намский муниципальный район,Хамагаттинский наслег,98635450101,Весеннее половодье,Лена,Крест-Кытыл (Хамагатта),2001,,,
Намский муниципальный район,Хамагаттинский наслег,98635450101,Весеннее половодье,Лена,Крест-Кытыл (Хамагатта),2010,,,
Намский муниципальный район,Хамагаттинский наслег,98635450101,Весеннее половодье,Лена,Крест-Кытыл (Хамагатта),2011,,,
Намский муниципальный район,Хамагаттинский наслег,98635450101,Весеннее половодье,Лена,Крест-Кытыл (Хамагатта),2022,,,
Намский муниципальный район,Хамагаттинский наслег,98635450101,Весеннее половодье,Лена,Крест-Кытыл (Хамагатта),2024,,,
Намский муниципальный район,Ленский наслег,98635425101,Весеннее половодье,Лена,Намцы,2001,,,
Намский муниципальный район,Ленский наслег,98635425101,Весеннее половодье,Лена,Намцы,2010,,,
Намский муниципальный район,Ленский наслег,98635425101,Весеннее половодье,Лена,Намцы,2024,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455101,Весеннее половодье,Лена,Аппаны (Хатын-Ары),2001,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455101,Весеннее половодье,Лена,Аппаны (Хатын-Ары),2007,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455101,Весеннее половодье,Лена,Аппаны (Хатын-Ары),2010,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455101,Весеннее половодье,Лена,Аппаны (Хатын-Ары),2024,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455111,Весеннее половодье,Лена,Кысыл-Деревня (Красная Деревня),2001,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455111,Весеннее половодье,Лена,Кысыл-Деревня (Красная Деревня),2007,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455111,Весеннее половодье,Лена,Кысыл-Деревня (Красная Деревня),2010,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455111,Весеннее половодье,Лена,Кысыл-Деревня (Красная Деревня),2022,,,
Намский муниципальный район,Хатын-Арынский наслег,98635455111,Весеннее половодье,Лена,Кысыл-Деревня (Красная Деревня),2024,,,
Намский муниципальный район,Бетюнский наслег,98635410101,Весеннее половодье,Лена,Бютяй-Юрдя (Бетюн),2001,,,
Намский муниципальный район,Бетюнский наслег,98635410101,Весеннее половодье,Лена,Бютяй-Юрдя (Бетюн),2010,,,
Намский муниципальный район,Бетюнский наслег,98635410101,Весеннее половодье,Лена,Бютяй-Юрдя (Бетюн),2020,,,
Намский муниципальный район,Бетюнский наслег,98635410101,Весеннее половодье,Лена,Бютяй-Юрдя (Бетюн),2022,,,
Намский муниципальный район,Бетюнский наслег,98635410101,Весеннее половодье,Лена,Бютяй-Юрдя (Бетюн),2024,,,
Намский муниципальный район,Модутский наслег,98635430101,Весеннее половодье,Лена,Тумул (Модут),2001,,,
Намский муниципальный район,Модутский наслег,98635430101,Весеннее половодье,Лена,Тумул (Модут),2007,,,
Намский муниципальный район,Модутский наслег,98635430101,Весеннее половодье,Лена,Тумул (Модут),2010,,,
Намский муниципальный район,Модутский наслег,98635430101,Весеннее половодье,Лена,Тумул (Модут),2022,,,
Намский муниципальный район,Модутский наслег,98635430101,Весеннее половодье,Лена,Тумул (Модут),2024,,,
Намский муниципальный район,Хатырыкский наслег,98635460101,Весеннее половодье,Лена,Столбы (Хатырык),2024,,,
Намский муниципальный район,Маймагинский наслег,98635470101,Весеннее половодье,Лена,Маймага,2024,,,
Верхневилюйский муниципальный район,Кэнтикский наслег,98614429101,Весеннее половодье,Лена,Харыялах (Кебекен),2024,,,
Намский муниципальный район,Фрунзенский наслег,98635447101,Весеннее половодье,Лена,Фрунзе,2024,,,
Усть-Алданский муниципальный район,Суоттунский наслег,98652470101,Весеннее половодье,Лена,Огородтах (Соттинцы) уч. Хоногор,2001,,,
Усть-Алданский муниципальный район,Суоттунский наслег,98652470101,Весеннее половодье,Лена,Огородтах (Соттинцы) уч. Хоногор,2007,,,
Усть-Алданский муниципальный район,Суоттунский наслег,98652470101,Весеннее половодье,Лена,Огородтах (Соттинцы) уч. Хоногор,2010,,,
Усть-Алданский муниципальный район,Суоттунский наслег,98652470101,Весеннее половодье,Лена,Огородтах (Соттинцы) уч. Хоногор,2013,,,
Усть-Алданский муниципальный район,Суоттунский наслег,98652470101,Весеннее половодье,Лена,Огородтах (Соттинцы) уч. Хоногор,2020,,,
Усть-Алданский муниципальный район,Суоттунский наслег,98652470101,Весеннее половодье,Лена,Огородтах (Соттинцы) уч. Хоногор,2022,,,
Усть-Алданский муниципальный район,Борогонский наслег,98652415106,Весеннее половодье,Лена,Ары-Тит,2001,,,
Усть-Алданский муниципальный район,Борогонский наслег,98652415106,Весеннее половодье,Лена,Ары-Тит,2010,,,
Усть-Алданский муниципальный район,Борогонский наслег,98652415106,Весеннее половодье,Лена,Ары-Тит,2013,,,
Усть-Алданский муниципальный район,Борогонский наслег,98652415106,Весеннее половодье,Лена,Ары-Тит,2020,,,
Кобяйский муниципальный район,Куокуйский наслег,98624424106,Весеннее половодье,Лена,Кальвица,2005,,,
Кобяйский муниципальный район,Куокуйский наслег,98624424106,Весеннее половодье,Лена,Кальвица,2007,,,
Кобяйский муниципальный район,Куокуйский наслег,98624424106,Весеннее половодье,Лена,Кальвица,2008,,,
Кобяйский муниципальный район,Куокуйский наслег,98624424106,Весеннее половодье,Лена,Кальвица,2018,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Весеннее половодье,Лена,Сангар,2018,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Весеннее половодье,Лена,Сангар,2019,,,
Кобяйский муниципальный район,Куокуйский наслег,98624424101,Весеннее половодье,Лена,Аргас (Куокуй),2007,,,
Кобяйский муниципальный район,Куокуйский наслег,98624424101,Весеннее половодье,Лена,Аргас (Куокуй),2008,,,
Кобяйский муниципальный район,Куокуйский наслег,98624424101,Весеннее половодье,Лена,Аргас (Куокуй),2018,,,
Кобяйский муниципальный район,Куокуйский наслег,98624424101,Весеннее половодье,Лена,Аргас (Куокуй),2023,,,
Кобяйский муниципальный район,Ситтинский наслег,98624450101,Весеннее половодье,Лена,Ситте,2007,,,
Кобяйский муниципальный район,Ситтинский наслег,98624450101,Весеннее половодье,Лена,Ситте,2008,,,
Кобяйский муниципальный район,Ситтинский наслег,98624450101,Весеннее половодье,Лена,Ситте,2023,,,
Алданский муниципальный район,Чагдинский наслег,98603460101,Весеннее половодье,Алдан,Чагда,2001,,,
Алданский муниципальный район,Национальный наслег Анамы,98603404101,Весеннее половодье,Алдан,Кутана,2001,,,
Алданский муниципальный район,Беллетский эвенкийский национальный наслег,98603407106,Весеннее половодье,Алдан,Угоян,2001,,,
Усть-Майский муниципальный район,поселок Эльдикан,98654164051,Весеннее половодье,Алдан,Эльдикан,2001,,,
Усть-Майский муниципальный район,поселок Эльдикан,98654164051,Весеннее половодье,Алдан,Эльдикан,2007,,,
Усть-Майский муниципальный район,поселок Эльдикан,98654164051,Весеннее половодье,Алдан,Эльдикан,2008,,,
Усть-Майский муниципальный район,поселок Эльдикан,98654164051,Весеннее половодье,Алдан,Эльдикан,2012,,,
Усть-Майский муниципальный район,поселок Эльдикан,98654164051,Весеннее половодье,Алдан,Эльдикан,2018,,,
Усть-Майский муниципальный район,поселок Эльдикан,98654164051,Весеннее половодье,Алдан,Эльдикан,2019,,,
Усть-Майский муниципальный район,Эжанский национальный наслег,98654425101,Весеннее половодье,Алдан,Эжанцы,2001,,,
Усть-Майский муниципальный район,Эжанский национальный наслег,98654425101,Весеннее половодье,Алдан,Эжанцы,2008,,,
Усть-Майский муниципальный район,Эжанский национальный наслег,98654425101,Весеннее половодье,Алдан,Эжанцы,2018,,,
Усть-Майский муниципальный район,Кюпский эвенкийский национальный наслег,98654410101,Весеннее половодье,Алдан,Кюпцы,2018,,,
Усть-Майский муниципальный район,село Белькачи,98654405101,Весеннее половодье,Алдан,Белькачи,2001,,,
Усть-Майский муниципальный район,село Белькачи,98654405101,Весеннее половодье,Алдан,Белькачи,2018,,,
Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,Весеннее половодье,Алдан,Охотский-Перевоз,2018,,,
Томпонский муниципальный район,Мегино-Алданский наслег,98650415101,Весеннее половодье,Алдан,Мегино-Алдан,2001,,,
Томпонский муниципальный район,Мегино-Алданский наслег,98650415101,Весеннее половодье,Алдан,Мегино-Алдан,2018,,,
Томпонский муниципальный район,Сасыльский наслег,98650430101,Весеннее половодье,Алдан,Кескил,2001,,,
Томпонский муниципальный район,поселок Джебарики-Хая,98650152051,Весеннее половодье,Алдан,Джебарики-Хая,2001,,,
Томпонский муниципальный район,поселок Хандыга,98650151051,Весеннее половодье,Алдан,Хандыга,2001,,,
Таттинский муниципальный район,Хара-Алданский наслег,98604465101,Весеннее половодье,Алдан,Хара-Алдан,2018,,,
Усть-Алданский муниципальный район,Оспехский наслег,98652465101,Весеннее половодье,Алдан,Дыгдал,2001,,,
Усть-Алданский муниципальный район,Оспехский наслег,98652465101,Весеннее половодье,Алдан,Дыгдал,2017,,,
Усть-Алданский муниципальный район,Оспехский наслег,98652465101,Весеннее половодье,Алдан,Дыгдал,2018,,,
Усть-Алданский муниципальный район,Чериктейский наслег,98652485101,Весеннее половодье,Алдан,Чериктей,2001,,,
Усть-Алданский муниципальный район,Чериктейский наслег,98652485101,Весеннее половодье,Алдан,Чериктей,2008,,,
Усть-Алданский муниципальный район,Чериктейский наслег,98652485101,Весеннее половодье,Алдан,Чериктей,2015,,,
Усть-Алданский муниципальный район,Чериктейский наслег,98652485101,Весеннее половодье,Алдан,Чериктей,2017,,,
Усть-Алданский муниципальный район,Чериктейский наслег,98652485101,Весеннее половодье,Алдан,Чериктей,2018,,,
Усть-Алданский муниципальный район,Чериктейский наслег,98652485101,Весеннее половодье,Алдан,Чериктей,2020,,,
Усть-Алданский муниципальный район,Тюляхский наслег,98652475101,Весеннее половодье,Алдан,Кылайы,2001,,,
Усть-Алданский муниципальный район,Тюляхский наслег,98652475101,Весеннее половодье,Алдан,Кылайы,2020,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414106,Весеннее половодье,Алдан,Батамай,2015,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Весеннее половодье,Колыма,Зырянка,2001,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Весеннее половодье,Колыма,Зырянка,2012,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Весеннее половодье,Колыма,Зырянка,2013,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Весеннее половодье,Колыма,Зырянка,2014,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Весеннее половодье,Колыма,Зырянка,2015,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Весеннее половодье,Колыма,Зырянка,2018,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Весеннее половодье,Колыма,Зырянка,2019,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Весеннее половодье,Колыма,Зырянка,2020,,,
