Район,Наслег,ОКТМО,Бассейн рек,Населенный пункт,Год,Месяц,День,в % от нормы,Unnamed: 9,"Кол-во ошибок ""#н/д""",0
Ленский муниципальный район,Нюйский наслег,98627430101,р.Лена,Нюя,2018,1,31,>200,,,
Олекминский муниципальный район,Мачинский наслег,98641440101,р.Лена,Мача,2018,1,31,130-200,,,
Олекминский муниципальный район,,98641434106,р.Лена,Килеер,2018,1,31,130-200,,,
Олекминский муниципальный район,город Олекминск,98641101001,р.Лена,Олекминск,2018,1,31,110-130,,,
Олекминский муниципальный район,Тянский национальный наслег,98641475101,р.Лена,Тяня,2018,1,31,130-200,,,
Горный муниципальный район,Мытахский наслег,98620440101,р.Лена,Джикимда,2018,1,31,110-130,,,
Олекминский муниципальный район,Саныяхтахский наслег,98641460101,р.Лена,Саныяхтат,2018,1,31,130-200,,,
Хангаласский муниципальный район,Иситский наслег,98644412101,р.Лена,Исить,2018,1,31,130-200,,,
Горный муниципальный район,Малтанинский наслег,98620433106,р.Лена,Тонгулах,2018,1,31,130-200,,,
Хангаласский муниципальный район,город Покровск,98644101001,р.Лена,Покровск,2018,1,31,70-90,,,
Городской округ Город Якутск,город Якутск,98701000001,р.Лена,Якутск,2018,1,31,90-110,,,
Намский муниципальный район,Ленский наслег,98635425101,р.Лена,Намцы,2018,1,31,<70,,,
Горный муниципальный район,Бердигестяхский наслег,98620410101,р.Лена,Бердигестях,2018,1,31,70-90,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,р.Лена,Сангары,2018,1,31,70-90,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,р.Лена,Жиганск,2018,1,31,70-90,,,
Жиганский национальный эвенкийский муниципальный район,,98622405101,р.Лена,Бестяхская з/ф,2018,1,31,70-90,,,
Жиганский национальный эвенкийский муниципальный район,Джарджан,98622410101,р.Лена,Джарджан,2018,1,31,70-90,,,
Булунский муниципальный район,Булунский национальный (эвенкийский) наслег,98612412101,р.Лена,Кюсюр,2018,1,31,90-110,,,
Алданский муниципальный район,город Томмот,98603105111,р.Амга,Буяга,2018,1,31,90-110,,,
Амгинский муниципальный район,Амгино-Нахаринский наслег,98608429111,р.Амга,Тегюльтя,2018,1,31,110-130,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,р.Амга,Амга,2018,1,31,70-90,,,
Алданский муниципальный район,Нагорный,98603105106,р.Алдан,Нагорный,2018,1,31,<70,,,
Нерюнгринский муниципальный район,поселок Чульман,98660165051,р.Алдан,Чульман,2018,1,31,70-90,,,
Алданский муниципальный район,,98603101111,р.Алдан,Канку,2018,1,31,110-130,,,
Момский муниципальный район,Момский национальный наслег,98633423106,р.Алдан,Суон-Тит,2018,1,31,130-200,,,
Алданский муниципальный район,город Томмот,98603105001,р.Алдан,Томмот,2018,1,31,130-200,,,
Алданский муниципальный район,Угино,98603105001,р.Алдан,Угино,2018,1,31,90-110,,,
Олекминский муниципальный район,Жарханский национальный наслег,98641420101,р.Алдан,Токо,2018,1,31,90-110,,,
Алданский муниципальный район,Чюльбю,98603460101,р.Алдан,Чюльбю,2018,1,31,70-90,,,
Алданский муниципальный район,,98603460101,р.Алдан,Учур,2018,1,31,90-110,,,
Усть-Майский муниципальный район,село Усть-Миль,98654415101,р.Алдан,Усть-Миль,2018,1,31,70-90,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151106,р.Алдан,Усть-Юдома,2018,1,31,<70,,,
Усть-Майский муниципальный район,поселок Югоренок,98654166051,р.Алдан,Югаренок,2018,1,31,70-90,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,р.Алдан,Усть-Мая,2018,1,31,70-90,,,
Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,р.Алдан,Охотский Перевоз,2018,1,31,<70,,,
Томпонский муниципальный район,Теплоключевской наслег,98650433101,р.Алдан,Теплый Ключ,2018,1,31,<70,,,
Томпонский муниципальный район,Баягантайский наслег,98650405101,р.Алдан,Крест-Хальджай,2018,1,31,70-90,,,
Томпонский муниципальный район,Томпо,98650435101,р.Алдан,Томпо,2018,1,31,<70,,,
Чурапчинский муниципальный район,Чурапчинский наслег,98658470101,р.Алдан,Чурапча,2018,1,31,70-90,,,
Усть-Алданский муниципальный район,,98652475101,р.Алдан,Верхоянский Перевоз,2018,1,31,110-130,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414106,р.Алдан,Батамай,2018,1,31,90-110,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414101,р.Алдан,Сегян-Кюель,2018,1,31,70-90,,,
Мирнинский муниципальный район,Лавинда,98631162051,р.Вилюй,Лавинда,2018,1,31,130-200,,,
Мирнинский муниципальный район,Чона,98631162051,р.Вилюй,Чона,2018,1,31,90-110,,,
Мирнинский муниципальный район,,98631162051,р.Вилюй,Туой-Хая,2018,1,31,110-130,,,
Мирнинский муниципальный район,поселок Чернышевский,98631162051,р.Вилюй,Чернышевский,2018,1,31,110-130,,,
Оленекский эвенкийский национальный муниципальный район,Хабардино,98642437101,р.Вилюй,Хабардино,2018,1,31,110-130,,,
Мирнинский муниципальный район,поселок Айхал,98631152051,р.Вилюй,Айхал,2018,1,31,110-130,,,
Оленекский эвенкийский национальный муниципальный район,Шелагонцы,98642450101,р.Вилюй,Шелагонцы,2018,1,31,110-130,,,
Нюрбинский муниципальный район,Чумпурук,98626410101,р.Вилюй,Чумпурук,2018,1,31,110-130,,,
Сунтарский муниципальный район,Крестяхский наслег,98648430101,р.Вилюй,Крестях,2018,1,31,90-110,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,р.Вилюй,Сунтар,2018,1,31,130-200,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,р.Вилюй,Нюрба,2018,1,31,110-130,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,р.Вилюй,Верхневилюйск,2018,1,31,90-110,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,р.Вилюй,Вилюйск,2018,1,31,130-200,,,
Оленекский эвенкийский национальный муниципальный район,Шологонский национальный наслег,98642450101,р.Вилюй,Эйк,2018,1,31,130-200,,,
Кобяйский муниципальный район,Арыктахский наслег,98624405111,р.Вилюй,Хатырык-Хомо,2018,1,31,90-110,,,
Оленекский эвенкийский национальный муниципальный район,Джалинда,98642437101,р.Анабар,Джалинда,2018,1,31,<70,,,
Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылахский национальный (эвенкийский) наслег,98610411101,р.Анабар,Саскылах,2018,1,31,90-110,,,
Оленекский эвенкийский национальный муниципальный район,Ярольин,98642437101,р.Оленек,Ярольин,2018,1,31,110-130,,,
Оленекский эвенкийский национальный муниципальный район,Оленекский национальный наслег,98642437101,р.Оленек,Оленек,2018,1,31,90-110,,,
Оленекский эвенкийский национальный муниципальный район,Сухана,98642437101,р.Оленек,Сухана,2018,1,31,90-110,,,
Булунский муниципальный район,,98612445106,р.Оленек,Тюмети,2018,1,31,70-90,,,
Булунский муниципальный район,Тюметинский национальный (эвенкийский) наслег,98612445101,р.Оленек,Таймылыр,2018,1,31,-,,,
Томпонский муниципальный район,,98650435101,р.Яна,Иэма,2018,1,31,90-110,,,
Верхоянский муниципальный район,,98616448101,р.Яна,Екючю,2018,1,31,110-130,,,
Верхоянский муниципальный район,поселок Батагай,98616151111,р.Яна,Усть-Чаркы,2018,1,31,130-200,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,р.Яна,Верхоянск,2018,1,31,110-130,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,р.Яна,Батагай,2018,1,31,110-130,,,
Эвено-Бытантайский национальный муниципальный район,Тюгясирский наслег,98659420101,р.Яна,Батагай-Алыта,2018,1,31,130-200,,,
Усть-Янский муниципальный район,Юбилейная,98656405101,р.Яна,Юбилейная,2018,1,31,130-200,,,
Оймяконский муниципальный район,Борогонский 2-й наслег,98639410106,р.Индигирка,Агаякан,2018,1,31,110-130,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,р.Индигирка,Оймякон,2018,1,31,90-110,,,
Оймяконский муниципальный район,поселок Артык,98639153106,р.Индигирка,Делянкир,2018,1,31,130-200,,,
Оймяконский муниципальный район,Юрты,98639432101,р.Индигирка,Юрты,2018,1,31,90-110,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,р.Индигирка,Усть-Нера,2018,1,31,110-130,,,
Момский муниципальный район,Момский национальный наслег,98633423101,р.Индигирка,Усть-Мома,2018,1,31,130-200,,,
Усть-Янский муниципальный район,поселок Депутатский,98656151051,р.Индигирка,Депутатский,2018,1,31,90-110,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,р.Индигирка,Белая Гора,2018,1,31,130-200,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,р.Индигирка,Чокурдах,2018,1,31,>200,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,р.Колыма,Зырянка,2018,1,31,>200,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,р.Колыма,Среднеколымск,2018,1,31,130-200,,,
Нижнеколымский муниципальный район,поселок Черский,98637151051,р.Колыма,Черский,2018,1,31,-,,,
Ленский муниципальный район,поселок Витим,98627153051,р.Лена,Витим,2017,1,31,110-130,,,
Ленский муниципальный район,город Ленск,98627101001,р.Лена,Ленск,2017,1,31,90-110,,,
Ленский муниципальный район,Комака,98627433101,р.Лена,Комака,2017,1,31,90-110,,,
Ленский муниципальный район,,98627420106,р.Лена,Дорожный,2017,1,31,110-130,,,
Ленский муниципальный район,Нюйский наслег,98627430101,р.Лена,Нюя,2017,1,31,130-200,,,
Олекминский муниципальный район,Мачинский наслег,98641440101,р.Лена,Мача,2017,1,31,110-130,,,
Олекминский муниципальный район,,98641434106,р.Лена,Килеер,2017,1,31,130-200,,,
Олекминский муниципальный район,город Олекминск,98641101001,р.Лена,Олекминск,2017,1,31,110-130,,,
Олекминский муниципальный район,Тянский национальный наслег,98641475101,р.Лена,Тяня,2017,1,31,90-110,,,
Горный муниципальный район,Мытахский наслег,98620440101,р.Лена,Джикимда,2017,1,31,90-110,,,
Олекминский муниципальный район,Саныяхтахский наслег,98641460101,р.Лена,Саныяхтат,2017,1,31,90-110,,,
Хангаласский муниципальный район,Иситский наслег,98644412101,р.Лена,Исить,2017,1,31,90-110,,,
Горный муниципальный район,Малтанинский наслег,98620433106,р.Лена,Тонгулах,2017,1,31,90-110,,,
Хангаласский муниципальный район,город Покровск,98644101001,р.Лена,Покровск,2017,1,31,70-90,,,
Городской округ Город Якутск,город Якутск,98701000001,р.Лена,Якутск,2017,1,31,110-130,,,
Намский муниципальный район,Ленский наслег,98635425101,р.Лена,Намцы,2017,1,31,70-90,,,
Горный муниципальный район,Бердигестяхский наслег,98620410101,р.Лена,Бердигестях,2017,1,31,90-110,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,р.Лена,Сангары,2017,1,31,90-110,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,р.Лена,Жиганск,2017,1,31,90-110,,,
Жиганский национальный эвенкийский муниципальный район,,98622405101,р.Лена,Бестяхская з/ф,2017,1,31,70-90,,,
Жиганский национальный эвенкийский муниципальный район,Джарджан,98622410101,р.Лена,Джарджан,2017,1,31,<70,,,
Булунский муниципальный район,Булунский национальный (эвенкийский) наслег,98612412101,р.Лена,Кюсюр,2017,1,31,90-110,,,
Алданский муниципальный район,город Томмот,98603105111,р.Амга,Буяга,2017,1,31,90-110,,,
Амгинский муниципальный район,Амгино-Нахаринский наслег,98608429111,р.Амга,Тегюльтя,2017,1,31,90-110,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,р.Амга,Амга,2017,1,31,110-130,,,
Алданский муниципальный район,Нагорный,98603105106,р.Алдан,Нагорный,2017,1,31,<70,,,
Нерюнгринский муниципальный район,поселок Чульман,98660165051,р.Алдан,Чульман,2017,1,31,<70,,,
Алданский муниципальный район,,98603101111,р.Алдан,Канку,2017,1,31,90-110,,,
Момский муниципальный район,Момский национальный наслег,98633423106,р.Алдан,Суон-Тит,2017,1,31,70-90,,,
Алданский муниципальный район,город Томмот,98603105001,р.Алдан,Томмот,2017,1,31,90-110,,,
Алданский муниципальный район,Угино,98603105001,р.Алдан,Угино,2017,1,31,90-110,,,
Олекминский муниципальный район,Жарханский национальный наслег,98641420101,р.Алдан,Токо,2017,1,31,70-90,,,
Алданский муниципальный район,Чюльбю,98603460101,р.Алдан,Чюльбю,2017,1,31,70-90,,,
Алданский муниципальный район,,98603460101,р.Алдан,Учур,2017,1,31,<70,,,
Усть-Майский муниципальный район,село Усть-Миль,98654415101,р.Алдан,Усть-Миль,2017,1,31,90-110,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151106,р.Алдан,Усть-Юдома,2017,1,31,110-130,,,
Усть-Майский муниципальный район,поселок Югоренок,98654166051,р.Алдан,Югаренок,2017,1,31,90-110,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,р.Алдан,Усть-Мая,2017,1,31,90-110,,,
Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,р.Алдан,Охотский Перевоз,2017,1,31,70-90,,,
Томпонский муниципальный район,Теплоключевской наслег,98650433101,р.Алдан,Теплый Ключ,2017,1,31,70-90,,,
Томпонский муниципальный район,Баягантайский наслег,98650405101,р.Алдан,Крест-Хальджай,2017,1,31,90-110,,,
Томпонский муниципальный район,Томпо,98650435101,р.Алдан,Томпо,2017,1,31,70-90,,,
Чурапчинский муниципальный район,Чурапчинский наслег,98658470101,р.Алдан,Чурапча,2017,1,31,70-90,,,
Усть-Алданский муниципальный район,,98652475101,р.Алдан,Верхоянский Перевоз,2017,1,31,90-110,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414106,р.Алдан,Батамай,2017,1,31,70-90,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414101,р.Алдан,Сегян-Кюель,2017,1,31,<70,,,
Мирнинский муниципальный район,Лавинда,98631162051,р.Вилюй,Лавинда,2017,1,31,90-110,,,
Мирнинский муниципальный район,Чона,98631162051,р.Вилюй,Чона,2017,1,31,90-110,,,
Мирнинский муниципальный район,,98631162051,р.Вилюй,Туой-Хая,2017,1,31,130-200,,,
Мирнинский муниципальный район,поселок Чернышевский,98631162051,р.Вилюй,Чернышевский,2017,1,31,90-110,,,
Оленекский эвенкийский национальный муниципальный район,Хабардино,98642437101,р.Вилюй,Хабардино,2017,1,31,70-90,,,
Мирнинский муниципальный район,поселок Айхал,98631152051,р.Вилюй,Айхал,2017,1,31,90-110,,,
Оленекский эвенкийский национальный муниципальный район,Шелагонцы,98642450101,р.Вилюй,Шелагонцы,2017,1,31,90-110,,,
Нюрбинский муниципальный район,Чумпурук,98626410101,р.Вилюй,Чумпурук,2017,1,31,90-110,,,
Сунтарский муниципальный район,Крестяхский наслег,98648430101,р.Вилюй,Крестях,2017,1,31,90-110,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,р.Вилюй,Сунтар,2017,1,31,>200,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,р.Вилюй,Нюрба,2017,1,31,90-110,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,р.Вилюй,Верхневилюйск,2017,1,31,70-90,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,р.Вилюй,Вилюйск,2017,1,31,70-90,,,
Оленекский эвенкийский национальный муниципальный район,Шологонский национальный наслег,98642450101,р.Вилюй,Эйк,2017,1,31,90-110,,,
Кобяйский муниципальный район,Арыктахский наслег,98624405111,р.Вилюй,Хатырык-Хомо,2017,1,31,<70,,,
Оленекский эвенкийский национальный муниципальный район,Джалинда,98642437101,р.Анабар,Джалинда,2017,1,31,90-110,,,
Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылахский национальный (эвенкийский) наслег,98610411101,р.Анабар,Саскылах,2017,1,31,90-110,,,
Оленекский эвенкийский национальный муниципальный район,Ярольин,98642437101,р.Оленек,Ярольин,2017,1,31,90-110,,,
Оленекский эвенкийский национальный муниципальный район,Оленекский национальный наслег,98642437101,р.Оленек,Оленек,2017,1,31,90-110,,,
Оленекский эвенкийский национальный муниципальный район,Сухана,98642437101,р.Оленек,Сухана,2017,1,31,90-110,,,
Булунский муниципальный район,,98612445106,р.Оленек,Тюмети,2017,1,31,<70,,,
Булунский муниципальный район,Тюметинский национальный (эвенкийский) наслег,98612445101,р.Оленек,Таймылыр,2017,1,31,-,,,
Томпонский муниципальный район,,98650435101,р.Яна,Иэма,2017,1,31,130-200,,,
Верхоянский муниципальный район,,98616448101,р.Яна,Екючю,2017,1,31,>200,,,
Верхоянский муниципальный район,поселок Батагай,98616151111,р.Яна,Усть-Чаркы,2017,1,31,130-200,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,р.Яна,Верхоянск,2017,1,31,130-200,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,р.Яна,Батагай,2017,1,31,>200,,,
Эвено-Бытантайский национальный муниципальный район,Тюгясирский наслег,98659420101,р.Яна,Батагай-Алыта,2017,1,31,110-130,,,
Усть-Янский муниципальный район,Юбилейная,98656405101,р.Яна,Юбилейная,2017,1,31,>200,,,
Оймяконский муниципальный район,Борогонский 2-й наслег,98639410106,р.Индигирка,Агаякан,2017,1,31,90-110,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,р.Индигирка,Оймякон,2017,1,31,70-90,,,
Оймяконский муниципальный район,поселок Артык,98639153106,р.Индигирка,Делянкир,2017,1,31,130-200,,,
Оймяконский муниципальный район,Юрты,98639432101,р.Индигирка,Юрты,2017,1,31,90-110,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,р.Индигирка,Усть-Нера,2017,1,31,70-90,,,
Момский муниципальный район,Момский национальный наслег,98633423101,р.Индигирка,Усть-Мома,2017,1,31,130-200,,,
Усть-Янский муниципальный район,поселок Депутатский,98656151051,р.Индигирка,Депутатский,2017,1,31,130-200,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,р.Индигирка,Белая Гора,2017,1,31,>200,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,р.Индигирка,Чокурдах,2017,1,31,>200,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,р.Колыма,Зырянка,2017,1,31,>200,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,р.Колыма,Среднеколымск,2017,1,31,>200,,,
Нижнеколымский муниципальный район,поселок Черский,98637151051,р.Колыма,Черский,2017,1,31,>200,,,
Ленский муниципальный район,поселок Витим,98627153051,р.Лена,Витим,2018,2,10,130-200,,,
Ленский муниципальный район,город Ленск,98627101001,р.Лена,Ленск,2018,2,10,110-130,,,
Ленский муниципальный район,Комака,98627433101,р.Лена,Комака,2018,2,10,130-200,,,
Ленский муниципальный район,,98627420106,р.Лена,Дорожный,2018,2,10,130-200,,,
Ленский муниципальный район,Нюйский наслег,98627430101,р.Лена,Нюя,2018,2,10,>200,,,
Олекминский муниципальный район,Мачинский наслег,98641440101,р.Лена,Мача,2018,2,10,130-200,,,
Олекминский муниципальный район,,98641434106,р.Лена,Килеер,2018,2,10,130-200,,,
Олекминский муниципальный район,город Олекминск,98641101001,р.Лена,Олекминск,2018,2,10,110-130,,,
Олекминский муниципальный район,Тянский национальный наслег,98641475101,р.Лена,Тяня,2018,2,10,130-200,,,
Горный муниципальный район,Мытахский наслег,98620440101,р.Лена,Джикимда,2018,2,10,90-110,,,
Олекминский муниципальный район,Саныяхтахский наслег,98641460101,р.Лена,Саныяхтат,2018,2,10,110-130,,,
Хангаласский муниципальный район,Иситский наслег,98644412101,р.Лена,Исить,2018,2,10,110-130,,,
Горный муниципальный район,Малтанинский наслег,98620433106,р.Лена,Тонгулах,2018,2,10,110-130,,,
Хангаласский муниципальный район,город Покровск,98644101001,р.Лена,Покровск,2018,2,10,<70,,,
Городской округ Город Якутск,город Якутск,98701000001,р.Лена,Якутск,2018,2,10,90-110,,,
Намский муниципальный район,Ленский наслег,98635425101,р.Лена,Намцы,2018,2,10,90-110,,,
Горный муниципальный район,Бердигестяхский наслег,98620410101,р.Лена,Бердигестях,2018,2,10,90-110,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,р.Лена,Сангары,2018,2,10,70-90,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,р.Лена,Жиганск,2018,2,10,90-110,,,
Жиганский национальный эвенкийский муниципальный район,,98622405101,р.Лена,Бестяхская з/ф,2018,2,10,70-90,,,
Жиганский национальный эвенкийский муниципальный район,Джарджан,98622410101,р.Лена,Джарджан,2018,2,10,70-90,,,
Булунский муниципальный район,Булунский национальный (эвенкийский) наслег,98612412101,р.Лена,Кюсюр,2018,2,10,90-110,,,
Алданский муниципальный район,город Томмот,98603105111,р.Амга,Буяга,2018,2,10,90-110,,,
Амгинский муниципальный район,Амгино-Нахаринский наслег,98608429111,р.Амга,Тегюльтя,2018,2,10,110-130,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,р.Амга,Амга,2018,2,10,90-110,,,
Алданский муниципальный район,Нагорный,98603105106,р.Алдан,Нагорный,2018,2,10,<70,,,
Нерюнгринский муниципальный район,поселок Чульман,98660165051,р.Алдан,Чульман,2018,2,10,110-130,,,
Алданский муниципальный район,,98603101111,р.Алдан,Канку,2018,2,10,110-130,,,
Момский муниципальный район,Момский национальный наслег,98633423106,р.Алдан,Суон-Тит,2018,2,10,130-200,,,
Алданский муниципальный район,город Томмот,98603105001,р.Алдан,Томмот,2018,2,10,130-200,,,
Алданский муниципальный район,Угино,98603105001,р.Алдан,Угино,2018,2,10,90-110,,,
Олекминский муниципальный район,Жарханский национальный наслег,98641420101,р.Алдан,Токо,2018,2,10,90-110,,,
Алданский муниципальный район,Чюльбю,98603460101,р.Алдан,Чюльбю,2018,2,10,70-90,,,
Алданский муниципальный район,,98603460101,р.Алдан,Учур,2018,2,10,70-90,,,
Усть-Майский муниципальный район,село Усть-Миль,98654415101,р.Алдан,Усть-Миль,2018,2,10,70-90,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151106,р.Алдан,Усть-Юдома,2018,2,10,70-90,,,
Усть-Майский муниципальный район,поселок Югоренок,98654166051,р.Алдан,Югаренок,2018,2,10,90-110,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,р.Алдан,Усть-Мая,2018,2,10,70-90,,,
Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,р.Алдан,Охотский Перевоз,2018,2,10,70-90,,,
Томпонский муниципальный район,Теплоключевской наслег,98650433101,р.Алдан,Теплый Ключ,2018,2,10,<70,,,
Томпонский муниципальный район,Баягантайский наслег,98650405101,р.Алдан,Крест-Хальджай,2018,2,10,70-90,,,
Томпонский муниципальный район,Томпо,98650435101,р.Алдан,Томпо,2018,2,10,<70,,,
Чурапчинский муниципальный район,Чурапчинский наслег,98658470101,р.Алдан,Чурапча,2018,2,10,90-110,,,
Усть-Алданский муниципальный район,,98652475101,р.Алдан,Верхоянский Перевоз,2018,2,10,130-200,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414106,р.Алдан,Батамай,2018,2,10,70-90,,,
Кобяйский муниципальный район,Кировский эвенский национальный наслег,98624414101,р.Алдан,Сегян-Кюель,2018,2,10,<70,,,
Мирнинский муниципальный район,Лавинда,98631162051,р.Вилюй,Лавинда,2018,2,10,130-200,,,
Мирнинский муниципальный район,Чона,98631162051,р.Вилюй,Чона,2018,2,10,90-110,,,
Мирнинский муниципальный район,,98631162051,р.Вилюй,Туой-Хая,2018,2,10,110-130,,,
Мирнинский муниципальный район,поселок Чернышевский,98631162051,р.Вилюй,Чернышевский,2018,2,10,110-130,,,
Оленекский эвенкийский национальный муниципальный район,Хабардино,98642437101,р.Вилюй,Хабардино,2018,2,10,110-130,,,
Мирнинский муниципальный район,поселок Айхал,98631152051,р.Вилюй,Айхал,2018,2,10,110-130,,,
Оленекский эвенкийский национальный муниципальный район,Шелагонцы,98642450101,р.Вилюй,Шелагонцы,2018,2,10,130-200,,,
Нюрбинский муниципальный район,Чумпурук,98626410101,р.Вилюй,Чумпурук,2018,2,10,130-200,,,
Сунтарский муниципальный район,Крестяхский наслег,98648430101,р.Вилюй,Крестях,2018,2,10,110-130,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,р.Вилюй,Сунтар,2018,2,10,130-200,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,р.Вилюй,Нюрба,2018,2,10,110-130,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,р.Вилюй,Верхневилюйск,2018,2,10,90-110,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,р.Вилюй,Вилюйск,2018,2,10,110-130,,,
Оленекский эвенкийский национальный муниципальный район,Шологонский национальный наслег,98642450101,р.Вилюй,Эйк,2018,2,10,130-200,,,
Кобяйский муниципальный район,Арыктахский наслег,98624405111,р.Вилюй,Хатырык-Хомо,2018,2,10,70-90,,,
Оленекский эвенкийский национальный муниципальный район,Джалинда,98642437101,р.Анабар,Джалинда,2018,2,10,<70,,,
Анабарский национальный (долгано-эвенкийский) муниципальный район,Саскылахский национальный (эвенкийский) наслег,98610411101,р.Анабар,Саскылах,2018,2,10,90-110,,,
Оленекский эвенкийский национальный муниципальный район,Ярольин,98642437101,р.Оленек,Ярольин,2018,2,10,110-130,,,
Оленекский эвенкийский национальный муниципальный район,Оленекский национальный наслег,98642437101,р.Оленек,Оленек,2018,2,10,90-110,,,
Оленекский эвенкийский национальный муниципальный район,Сухана,98642437101,р.Оленек,Сухана,2018,2,10,110-130,,,
Булунский муниципальный район,,98612445106,р.Оленек,Тюмети,2018,2,10,90-110,,,
Булунский муниципальный район,Тюметинский национальный (эвенкийский) наслег,98612445101,р.Оленек,Таймылыр,2018,2,10,-,,,
Томпонский муниципальный район,,98650435101,р.Яна,Иэма,2018,2,10,90-110,,,
Верхоянский муниципальный район,,98616448101,р.Яна,Екючю,2018,2,10,130-200,,,
Верхоянский муниципальный район,поселок Батагай,98616151111,р.Яна,Усть-Чаркы,2018,2,10,130-200,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,р.Яна,Верхоянск,2018,2,10,110-130,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,р.Яна,Батагай,2018,2,10,110-130,,,
Эвено-Бытантайский национальный муниципальный район,Тюгясирский наслег,98659420101,р.Яна,Батагай-Алыта,2018,2,10,110-130,,,
Усть-Янский муниципальный район,Юбилейная,98656405101,р.Яна,Юбилейная,2018,2,10,>200,,,
Оймяконский муниципальный район,Борогонский 2-й наслег,98639410106,р.Индигирка,Агаякан,2018,2,10,130-200,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,р.Индигирка,Оймякон,2018,2,10,110-130,,,
Оймяконский муниципальный район,поселок Артык,98639153106,р.Индигирка,Делянкир,2018,2,10,130-200,,,
Оймяконский муниципальный район,Юрты,98639432101,р.Индигирка,Юрты,2018,2,10,110-130,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,р.Индигирка,Усть-Нера,2018,2,10,110-130,,,
Момский муниципальный район,Момский национальный наслег,98633423101,р.Индигирка,Усть-Мома,2018,2,10,130-200,,,
Усть-Янский муниципальный район,поселок Депутатский,98656151051,р.Индигирка,Депутатский,2018,2,10,90-110,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,р.Индигирка,Белая Гора,2018,2,10,130-200,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,р.Индигирка,Чокурдах,2018,2,10,>200,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,р.Колыма,Зырянка,2018,2,10,>200,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,р.Колыма,Среднеколымск,2018,2,10,130-200,,,
