№,Гидрометеорологический пост,Наименование реки,Район,Населенный пункт,ОКТМО,Дата (дд.мм.ггг),в % от нормы,в % от нормы.1
1,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2005-11-20,110-130,120.0
2,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2005-11-20,110-130,120.0
3,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2005-11-20,110-130,120.0
4,Олёкминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2005-11-20,90-110,100.0
5,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2005-11-20,>130,130.0
6,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2005-11-20,90-110,100.0
7,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2005-11-20,110-130,120.0
8,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2005-11-20,110-130,120.0
9,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2005-11-20,70-90,80.0
10,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2005-11-20,110-130,120.0
11,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2005-11-20,110-130,120.0
12,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2005-11-20,70-90,80.0
13,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2005-11-20,70-90,80.0
14,Казачье,Яна,Усть-Янский муниципальный район,Казачье,98656405101,2005-11-20,70-90,80.0
15,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2005-11-20,110-130,120.0
16,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2005-11-20,90-110,100.0
17,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2005-11-20,70-90,80.0
18,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2005-11-20,70-90,80.0
19,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2005-11-20,,
20,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2005-11-20,70-90,80.0
21,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2005-11-20,70-90,80.0
22,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2005-11-20,,
23,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2005-11-20,110-130,120.0
24,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2005-11-20,90-110,100.0
25,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2005-11-20,90-110,100.0
26,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2005-11-20,90-110,100.0
27,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2009-11-20,70-90,80.0
28,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2009-11-20,70-90,80.0
29,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2009-11-20,<70,70.0
30,Олёкминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2009-11-20,90-110,100.0
31,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2009-11-20,110-130,120.0
32,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2009-11-20,70-90,80.0
33,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2009-11-20,<70,70.0
34,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2009-11-20,70-90,80.0
35,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2009-11-20,110-130,120.0
36,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2009-11-20,90-110,100.0
37,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2009-11-20,70-90,80.0
38,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2009-11-20,70-90,80.0
39,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2009-11-20,70-90,80.0
40,Казачье,Яна,Усть-Янский муниципальный район,Казачье,98656405101,2009-11-20,>130,130.0
41,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2009-11-20,>130,130.0
42,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2009-11-20,>130,130.0
43,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2009-11-20,>130,130.0
44,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2009-11-20,90-110,100.0
45,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2009-11-20,70-90,80.0
46,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2009-11-20,>130,130.0
47,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2009-11-20,90-110,100.0
48,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2009-11-20,<70,70.0
49,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2009-11-20,<70,70.0
50,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2009-11-20,<70,70.0
51,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2009-11-20,<70,70.0
52,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2009-11-20,<70,70.0
53,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2010-11-20,>130,130.0
54,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2010-11-20,>130,130.0
55,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2010-11-20,>130,130.0
56,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2010-11-20,70-90,80.0
57,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2010-11-20,>130,130.0
58,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2010-11-20,<70,70.0
59,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2010-11-20,90-110,100.0
60,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2010-11-20,>130,130.0
61,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2010-11-20,<70,70.0
62,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2010-11-20,<70,70.0
63,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2010-11-20,<70,70.0
64,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2010-11-20,<70,70.0
65,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2010-11-20,<70,70.0
66,Казачье,Яна,Усть-Янский муниципальный район,Казачье,98656405101,2010-11-20,70-90,80.0
67,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2010-11-20,70-90,80.0
68,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2010-11-20,70-90,80.0
69,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2010-11-20,<70,70.0
70,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2010-11-20,<70,70.0
71,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2010-11-20,<70,70.0
72,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2010-11-20,<70,70.0
73,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2010-11-20,70-90,80.0
74,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2010-11-20,<70,70.0
75,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2010-11-20,90-110,100.0
76,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2010-11-20,<70,70.0
77,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2010-11-20,90-110,100.0
78,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2010-11-20,>130,130.0
79,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2011-11-20,110-130,120.0
80,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2011-11-20,70-90,80.0
81,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2011-11-20,110-130,120.0
82,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2011-11-20,90-110,100.0
83,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2011-11-20,>130,130.0
84,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2011-11-20,110-130,120.0
85,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2011-11-20,>130,130.0
86,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2011-11-20,>130,130.0
87,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2011-11-20,<70,70.0
88,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2011-11-20,<70,70.0
89,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2011-11-20,110-130,120.0
90,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2011-11-20,70-90,80.0
91,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2011-11-20,110-130,120.0
92,Казачье,Яна,Усть-Янский муниципальный район,Казачье,98656405101,2011-11-20,>130,130.0
93,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2011-11-20,>130,130.0
94,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2011-11-20,>130,130.0
95,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2011-11-20,<70,70.0
96,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2011-11-20,<70,70.0
97,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2011-11-20,<70,70.0
98,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2011-11-20,<70,70.0
99,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2011-11-20,<70,70.0
100,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2011-11-20,<70,70.0
101,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2011-11-20,<70,70.0
102,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2011-11-20,90-110,100.0
103,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2011-11-20,90-110,100.0
104,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2011-11-20,>130,130.0
105,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2012-11-20,>130,130.0
106,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2012-11-20,>130,130.0
107,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2012-11-20,90-110,100.0
108,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2012-11-20,90-110,100.0
109,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2012-11-20,90-110,100.0
110,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2012-11-20,90-110,100.0
111,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2012-11-20,<70,70.0
112,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2012-11-20,<70,70.0
113,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2012-11-20,110-130,120.0
114,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2012-11-20,>130,130.0
115,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2012-11-20,>130,130.0
116,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2012-11-20,<70,70.0
117,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2012-11-20,<70,70.0
118,Казачье,Яна,Усть-Янский муниципальный район,Казачье,98656405101,2012-11-20,110-130,120.0
119,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2012-11-20,110-130,120.0
120,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2012-11-20,110-130,120.0
121,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2012-11-20,110-130,120.0
122,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2012-11-20,70-90,80.0
123,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2012-11-20,<70,70.0
124,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2012-11-20,<70,70.0
125,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2012-11-20,<70,70.0
126,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2012-11-20,<70,70.0
127,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2012-11-20,<70,70.0
128,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2012-11-20,<70,70.0
129,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2012-11-20,<70,70.0
130,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2012-11-20,<70,70.0
131,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2013-11-20,90-110,100.0
132,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2013-11-20,90-110,100.0
133,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2013-11-20,90-110,100.0
134,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2013-11-20,<70,70.0
135,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2013-11-20,90-110,100.0
136,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2013-11-20,<70,70.0
137,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2013-11-20,>130,130.0
138,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2013-11-20,>130,130.0
139,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2013-11-20,<70,70.0
140,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2013-11-20,<70,70.0
141,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2013-11-20,<70,70.0
142,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2013-11-20,<70,70.0
143,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2013-11-20,90-110,100.0
144,Казачье,Яна,Усть-Янский муниципальный район,Казачье,98656405101,2013-11-20,<70,70.0
145,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2013-11-20,>130,130.0
146,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2013-11-20,>130,130.0
147,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2013-11-20,70-90,80.0
148,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2013-11-20,70-90,80.0
149,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2013-11-20,70-90,80.0
150,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2013-11-20,<70,70.0
151,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2013-11-20,70-90,80.0
152,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2013-11-20,<70,70.0
153,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2013-11-20,90-110,100.0
154,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2013-11-20,90-110,100.0
155,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2013-11-20,>130,130.0
156,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2013-11-20,110-130,120.0
157,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2014-11-20,90-110,100.0
158,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2014-11-20,90-110,100.0
159,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2014-11-20,90-110,100.0
160,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2014-11-20,90-110,100.0
161,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2014-11-20,130,130.0
162,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2014-11-20,70-90,226.0
163,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2014-11-20,70-90,165.0
164,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2014-11-20,110-130,90.0
165,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2014-11-20,90-110,105.0
166,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2014-11-20,90-110,95.0
167,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2014-11-20,>130,81.0
168,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2014-11-20,90-110,152.0
169,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2014-11-20,70-90,116.0
170,Казачье,Яна,Усть-Янский муниципальный район,Казачье,98656405101,2014-11-20,,164.0
171,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2014-11-20,>130,106.0
172,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2014-11-20,>130,74.0
173,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2014-11-20,>130,71.0
174,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2014-11-20,>130,36.0
175,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2014-11-20,>130,90.0
176,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2014-11-20,>130,100.0
177,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2014-11-20,>130,91.0
178,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2014-11-20,,80.0
179,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2014-11-20,>130,126.0
180,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2014-11-20,90-110,70.0
181,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2014-11-20,>130,130.0
182,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2014-11-20,>130,120.0
183,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2002-12-20,<70,100.0
184,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2002-12-20,<70,80.0
185,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2002-12-20,<70,120.0
186,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2002-12-20,<70,200.0
187,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2002-12-20,70-90,165.0
188,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2002-12-20,70-90,120.0
189,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2002-12-20,<70,120.0
190,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2002-12-20,90-110,165.0
191,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2002-12-20,70-90,165.0
192,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2002-12-20,>130,120.0
193,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2002-12-20,<70,120.0
194,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2002-12-20,70-90,100.0
195,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2002-12-20,70-90,100.0
196,Нижнеянск,Яна,Усть-Янский муниципальный район,Нижнеянск,98656159051,2002-12-20,70-90,165.0
197,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2002-12-20,70-90,100.0
198,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2002-12-20,<70,80.0
199,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2002-12-20,<70,80.0
200,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2002-12-20,70-90,165.0
201,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2002-12-20,70-90,100.0
202,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2002-12-20,70-90,80.0
203,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2002-12-20,70-90,80.0
204,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2002-12-20,,165.0
205,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2002-12-20,<70,200.0
206,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2002-12-20,<70,100.0
207,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2002-12-20,<70,100.0
208,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2002-12-20,<70,165.0
209,Чернышевск,Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2002-12-20,70-90,165.0
210,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2004-12-20,226,120.0
211,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2004-12-20,165,165.0
212,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2004-12-20,,100.0
213,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2004-12-20,90,165.0
214,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2004-12-20,105,100.0
215,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2004-12-20,95,165.0
216,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2004-12-20,81,165.0
217,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2004-12-20,152,120.0
218,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2004-12-20,116,200.0
219,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2004-12-20,,120.0
220,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2004-12-20,164,100.0
221,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2004-12-20,106,100.0
222,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2004-12-20,74,120.0
223,Нижнеянск,Яна,Усть-Янский муниципальный район,Нижнеянск,98656159051,2004-12-20,,100.0
224,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2004-12-20,71,120.0
225,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2004-12-20,,100.0
226,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2004-12-20,,100.0
227,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2004-12-20,,70.0
228,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2004-12-20,,100.0
229,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2004-12-20,36,80.0
230,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2004-12-20,90,100.0
231,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2004-12-20,,100.0
232,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2004-12-20,100,80.0
233,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2004-12-20,91,120.0
234,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2004-12-20,80,120.0
235,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2004-12-20,126,80.0
236,Чернышевск,Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2004-12-20,,80.0
237,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2005-12-20,110-130,80.0
238,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2005-12-20,110-130,70.0
239,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2005-12-20,110-130,80.0
240,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2005-12-20,110-130,70.0
241,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2005-12-20,110-130,165.0
242,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2005-12-20,70-90,100.0
243,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2005-12-20,110-130,80.0
244,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2005-12-20,110-130,70.0
245,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2005-12-20,110-130,120.0
246,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2005-12-20,110-130,80.0
247,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2005-12-20,110-130,100.0
248,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2005-12-20,70-90,80.0
249,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2005-12-20,70-90,100.0
250,Нижнеянск,Яна,Усть-Янский муниципальный район,Нижнеянск,98656159051,2005-12-20,70-90,70.0
251,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2005-12-20,110-130,100.0
252,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2005-12-20,70-90,70.0
253,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2005-12-20,70-90,100.0
254,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2005-12-20,70-90,80.0
255,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2005-12-20,,100.0
256,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2005-12-20,70-90,165.0
257,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2005-12-20,70-90,80.0
258,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2005-12-20,,100.0
259,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2005-12-20,90-110,100.0
260,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2005-12-20,90-110,100.0
261,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2005-12-20,70-90,70.0
262,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2005-12-20,70-90,120.0
263,Чернышевск,Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2002-12-20,,70.0
264,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2009-12-20,<70,80.0
265,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2009-12-20,<70,165.0
266,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2009-12-20,<70,165.0
267,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2009-12-20,110-130,100.0
268,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2009-12-20,70-90,100.0
269,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2009-12-20,70-90,80.0
270,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2009-12-20,<70,80.0
271,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2009-12-20,<70,100.0
