oktmo,region,municipality,settlement,type,Геоточка,latitude_dms,longitude_dms,latitude_dd,longitude_dd
98603161051,Республика Саха (Якутия),Алданский,Ленинский,п,"[58.5766666666667,125.435277777778]",58.34.36,125.26.07,58.5766666666667,125.435277777778
98603170051,Республика Саха (Якутия),Алданский,Нижний Куранах,п,"[58.8175,125.527222222222]",58.49.03,125.31.38,58.8175,125.527222222222
98603161106,Республика Саха (Якутия),Алданский,Орочен 1-й,с,"[58.4841666666667,125.424166666667]",58.29.03,125.25.27,58.4841666666667,125.424166666667
98603101106,Республика Саха (Якутия),Алданский,Орочен 2-й,с,"[58.5452777777778,125.377777777778]",58.32.43,125.22.40,58.5452777777778,125.377777777778
98603105001,Республика Саха (Якутия),Алданский,Томмот,г,"[58.9594444444444,126.269722222222]",58.57.34,126.16.11,58.9594444444444,126.269722222222
98603407106,Республика Саха (Якутия),Алданский,Угоян,с,"[59.2536111111111,125.290555555556]",59.15.13,125.17.26,59.2536111111111,125.290555555556
98603105116,Республика Саха (Якутия),Алданский,Улу,с,"[60.315,127.431666666667]",60.18.54,127.25.54,60.315,127.431666666667
98603407101,Республика Саха (Якутия),Алданский,Хатыстыр,с,"[58.9230555555556,125.16]",58.55.23,125.09.36,58.9230555555556,125.16
98603460101,Республика Саха (Якутия),Алданский,Чагда,с,"[58.7494444444444,130.608333333333]",58.44.58,130.36.30,58.7494444444444,130.608333333333
98603105106,Республика Саха (Якутия),Алданский,Ыллымах,п,"[58.5791666666667,126.6875]",58.34.45,126.41.15,58.5791666666667,126.6875
98603170111,Республика Саха (Якутия),Алданский,Якокит,с,"[58.8975,125.8375]",58.53.51,125.50.15,58.8975,125.8375
98603161111,Республика Саха (Якутия),Алданский,Якокут,с,"[58.5283333333333,125.716388888889]",58.31.42,125.42.59,58.5283333333333,125.716388888889
98606476106,Республика Саха (Якутия),Аллаиховский,Воронцово,с,"[69.5758333333333,147.532777777778]",69.34.33,147.31.58,69.5758333333333,147.532777777778
98606437101,Республика Саха (Якутия),Аллаиховский,Нычалах,с,"[69.9338888888889,146.209722222222]",69.56.02,146.12.35,69.9338888888889,146.209722222222
