№ п/п,"ЧС по характеру и виду источника возникновения, в соответствии с перечнем","Дата, субъект РФ, место, краткое описание чрезвычайной ситуации, причина возникновения ЧС",Уровень ЧС,Количество погибших,Количество пострадавших,Количество пострадавших (в том числе - детей),Количество спасенных,дата введения,район,Год,Тип ЧС
1,1.8. Аварии на коммунальных системах жизнеобеспечения ,"03.01.01г. в Алданском районе, г.Томмот, в результате выхода из строя двух сетевых насосов остановлена котельная  МУП ЖКХ,
слита вода из системы отопления из 20 жилых домов, 5 зданий соцкультбыта, 2000 м теплотрассы. Без тепла остались 180 человек,  из них 40 детей. 
",Муниципальный,,180,,,2001-01-03,Алданский муниципальный район,2001,Аварии в отопительный сезон
2,1.8. Аварии на коммунальных системах жизнеобеспечения ,"04.01.01г. в 23 час.00 мин.в  Усть - Янском районе, п.Казачье, остановлена котельная ПАКУ из-за течи котла, второй котел не смогли запустить (работают  котлы на нефти). Слита вода с 5 жилых домов и 14 частных домов, теплотрассы длиной 1,82 км., с контор ЖКП, здания администрации, конторы ГУП ""Дьааана.",Муниципальный,,,,,2001-01-04,Усть-Янский муниципальный район,2001,Аварии в отопительный сезон
3,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","10.01.01г. в 04 час. 21мин в Томпонском районе, п.Хандыга, по улице П.Алексеева,15,  произошел пожар в жилом доме. На месте пожара обнаружено 2 трупа: гр.Гороховой Л.А -1932 г.р. - пенсионерка и гр.Кучина А.В - 1972 г. р.- БОМР. Причина, виновник, ущерб пожара устанавливается . ",Локальный,2,,,,2001-01-10,Томпонский муниципальный район,2001,Техногенные пожары
4,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"15.01.01г. в Ленском районе, г.Ленск,   из-за сильной утечки воды на теплотрассе, остановлена подача тепла в жилые дома от котельной ""Чапаево"". В результате аварии слита вода с 46-ти жилых домов (из них 16 жил.д. и 30 част. д.). Проживает 670  чел, из них 180 дети. ",Федеральный,,670,180.0,,2001-01-15,Ленский муниципальный район,2001,Аварии в отопительный сезон
5,"1.2.4.                                              Пожары на транспортных средствах (в т.ч. железнодорожный,   водный,автомобильный, воздушный транспорт) ","22.01.01г. в 11 час.50 мин. в Аллайховском районе, п.Чокурдах  при заправке газоконденсатом емкости бензовоза произошло воспламенение топлива. В результате взрыва уничтожена автомашина УРАЛ-5557 Муниципального управления ЖКХ. Водитель не пострадал.
",Локальный,2,,,,2001-01-22,Аллаиховский муниципальный район,2001,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
6,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","28.01.01г. в 03 час.30 мин. в Кобяйском районе, с.Кобяйск, произошел пожар в жилом доме. Здание деревянное двухэтажное огнем унеч-тожено полностью. На месте пожара обнаружено 3 трупа: гр.Сметаниной Р. Н. -  1973 г.р., гр.Сметанина К.- 1990 г.р. и гр.Сметанина С.- 1994 г.р.Причина, виновник, ущерб пожара  устанавливаются.",Локальный,3,,,,2001-01-28,Кобяйский муниципальный район,2001,Техногенные пожары
7,"1.2.1.                                              Пожары в зданиях,сооружениях, установках (в т.ч. магистральные газо -, нефте -, продуктопроводы) производственного назначения.","02.02.01г. в 14 час. 20 мин. в Усть - Янском районе, п.Депутатский, произошел пожар в здании ДЭС ( 11 ДГ). Огнем уничтожен силовой кабель и все ДГ. Электрообеспечение поселка отсутствует. В результате пожара остановлена центральная котельная, обеспечивающая теплом 26 жил. домов и 33 объекта производственного соцкульбыта. Без тепла остались 3 698 чел. (из них 1 208 детей). Пострадавшие были  эвакуированы в соседние населённые пункты и в г. Якутск. Причина НППБ при  выполнении свар. работ.
",Федеральный,,3698,1208.0,,2001-02-02,Усть-Янский муниципальный район,2001,Техногенные пожары
8,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"03.02.01г.  в 02 час. 22 мин. в Ленском районе, г.Ленск, в котельной ""Школьная"" на котле КСВД произошел разрыв передней водяной камеры и выброс пароводяной смеси. Пострадало 4 человека, доставлены в больницу, из них двое скончались.",Локальный,2,4,,,2001-02-03,Ленский муниципальный район,2001,Аварии в отопительный сезон
9,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","04.02.01г. в 14 час.50 мин. в Алданском районе,  п.Ленинский, по улице Ленина,51, произошел пожар в жилом доме. В результате пожара погибли 3 человека: гр.Разумовская В. М. – 1941 г.р., Косых А. Ф.- 1940 г.р. и Разумовский Ю. В. – 1945 г. р. Причина пожара – неосторожность при курении. 
",Локальный,3,,,,2001-02-04,Алданский муниципальный район,2001,Аварии в отопительный сезон
10,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","09.02.01г. в 12час.24 мин. в Мирнинском районе, мкр.Романовка,13, произошел пожар в частном доме. Погибло 3 человека.",Локальный,3,,,,2001-02-09,Мирнинский муниципальный район,2001,Техногенные пожары
11,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"15.02.01г. в 15час. 15мин. в Верхоянском районе, с.Сайды произошла авария в  ДЭС. В результате аварии вода слита с теплотрасс с 57 жилых домов, в которых проживает 435 человек.",Региональный,,435,,,2001-02-15,Верхоянский муниципальный район,2001,Аварии в отопительный сезон
12,"1.2.1. Пожары в зданиях,сооружениях, установках (в т.ч. магистральные газо -, нефте -, продуктопроводы) производственного назначения.","15.02.01г. в 00ч.30мин. в Таттинском районе, с.Ытык - Кель произошел пожар в центральной котельной.  В результате пожара пострадала правая часть здания.В результате пожара погиб гр.Попов В.Н. - 1956 г.р. - оператор. Без тепла остались 17  жилых дома (659 чел.), 7 производственных объектов. Пострадавшие расселены по родственникам и знакомым. ",Федеральный,1,659,,,2001-02-15,Таттинский муниципальный район,2001,Техногенные пожары
13,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","18.02.01г. в 05час.40мин.в Таттинском районе, с.Харбалах,  произошел пожар в частном доме.  В результате пожара дом уничтожен по всей площади. В результате пожара погибло 2 человека и  пострадало 5 человек (из них 3 дети) (размещены по родственникам).",Локальный,2,5,3.0,,2001-02-18,Таттинский муниципальный район,2001,Техногенные пожары
14,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"27.02.01г.  в 21 час.08 мин. в Амгинском районе, с.Чыпчылган, произошел взрыв котла на квартальной котельной. В результате взрыва произошел пожар. Котельная отапливала  10 жилых домов, гранильную фабрику, здания школы, гараж, мед. пункт, АТС и библиотеку. Пострадавшие размещены по родственникам и знакомым. ",Муниципальный,,,,,2001-02-27,Амгинский муниципальный район,2001,Аварии в отопительный сезон
15,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","06.03.01г. В Алданском районе, г.Алдан, по улице Доставалова, произошел пожар в частном доме. В результате пожара погибло 2 человека. 
",Локальный,2,,,,2001-03-06,Алданский муниципальный район,2001,Техногенные пожары
16,3.1.4.                                              Отравления людей. ,"17.03.01г. в г.Якутске, по улице Ногина, 6, произошло отравление жидкостью ""стеклоочистителем""( содержит метанол) в частном доме. В результате отравления погибли гр.Филиппов А.В. и гр.Власов А. Доставлены в тяжелом состоянии 2 человека в больницу.",Локальный,2,2,,,2001-03-17,Городской округ Город Якутск,2001,Отравления
17,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","17.04.01г. в 02час.02мин. в п.Марха, произошел пожар в общежитии Мархинского завода строительных материалов и конструкций. В результате пожара огнем уничтожено общежитие по всей площади.В результате пожара погибло 2 человека и  3 человека доставлены в больницу с ожогами различной степени тяжести.",Локальный,2,3,,,2001-04-17,Городской округ Город Якутск,2001,Техногенные пожары
18,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","18.04.01г. В 03 час.43 мин в Намском районе, с.Намцы, произошел пожар в частном доме. На месте пожара обнаружено 2 трупа: гр.Звонкова В. В.- БОМЖ. Личность второго погибшего устанавливается.Причина, ущерб, виновник пожара устанавливаются.
",Локальный,2,,,,2001-04-18,Намский муниципальный район,2001,Техногенные пожары
19,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"16.04.01г. в Усть - Майском орайоне, п.Эльдикан, произошло авария на системе теплоснабжения. В результате аварии произошло разморожение 17 объектов : из них 14 жил. домов, 2 административных зданий и 1 промышленный объект. ",Муниципальный,,,,,2001-04-16,Усть-Майский муниципальный район,2001,Аварии в отопительный сезон
20,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","03.07.01г. в Аллайховском районе, п.Чокурдах, произошёл пожар в жилом доме. В результате пожара огнем уничтожен дом по всей площади. В результате пожара погибло 2 человека и пострадало 98 человек  Пострадавшие расселены по знакомым и родственниками. Причина пожара неосторожное обращение с огнем. (Детская шалость). Материальный ущерб составляет 4.345.071 руб. ",Локальный,2,98,,,2001-07-03,Аллаиховский муниципальный район,2001,Техногенные пожары
21,"2.2.1.                                              Оползни, обвалы, осыпи ","18.08.01г. 23 час.00 мин. в Мирнинском районе, г.Мирный, в пионерском лагере «Орлёнок» пропали 3 девочки. В результате поисков были найдены в заваленной землей пещере в 100 м. от пионерского лагеря на беРегиональныйу реки Малая Ботуобуя. В результате принятых мер медиков по восстановлении жизнедеятельности детей положительного результата не дали. (Ахчыгнырова Женя – 1989 г.р., Иванова Анна – 1987 г.р., Малова Даша – 1992 г.р.)
",Локальный,3,,,,2001-08-18,Мирнинский муниципальный район,2001,"Разрушения дорожного полотна,  моста"
22,"1.1.3. - 1.1.4.                                              Кораблекрушения, аварии, повреждения грузовых, пассажирских судов, судов атомного флота, маломерных судов и судов флота рыбной промышленности, повреждения судами беРегиональныйовых, гидротехнических и других объектов.","20.10.01. в Мирнинском районе, с.Сюлдюкюр, на реке Вилюй, в результате  опрокидывания лодки утонули 2 человека: гр.Мингазов А.Г-1977г.р. и гр Дудников Ф.Н. - 1974 г.р. ",Локальный,2,,,,2001-10-20,Мирнинский муниципальный район,2001,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
23,"1.1.5. - 1.1.6.                                              Авиационные и ракетно - космические катастрофы и аварии в аэропортах, на стартовых площадках и в населеных пунктах и вне аэропортов, стартовых площадок и населенных пунктов.","9.11.01г. в 09 час.42 мин. в  Нерюнгринском районе, п.Чульман из аэропорта п.Чульман вылетел вертолет Ми-8 №27021 авиакомпании «Дельта-К», на боту находилось 11 человек включая экипаж и 1320 кг. груза. В назначенное время Ми-8 №27021 не вышел на связь. На поиск вертолета вылетел Ми-8 №22750. 11.11.01г. оперативной группой МЧС РС(Я) было найдено место крушение Ми-8  азимут-110 гр. Дальность-104 км. В результате осмотра место катастрофы обнаружено 11 трупов. ",Муниципальный,11,,,,2001-11-09,Нерюнгринский муниципальный район,2001,Авиационные инциденты
24,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","15.11.01г. в 20 час. 15 мин. в Верхоянском районе, п.Верхоянск, по ул. Бабушкина, 37,  произошел пожар в жилом доме. В результате пожара дом уничтожен по всей площади. На месте пожара обнаружено три трупа (двое мужчин, одна женщина). ",Локальный,3,,,,2001-11-15,Верхоянский муниципальный район,2001,Техногенные пожары
25,"1.1.8.                                              Транспортные катастрофы и аварии на мостах, переправах, в тоннелях, горных вырабатках, на железнодорожных переездах.","24.11.01г. в Верхневилюйском районе, п.Верхневилюйск, при переправе через реку Вилюй провалились под лед и затонули две а\машины (УАЗ и ЗИЛ). В результате происшествия погибли 4 человека: гр. Иванов Д. М.- 1948 г. р., гр.Тихонов Н. В. - 1954 г. р., гр.Степанов Н. С. 1977 г. р.  и гр.Сергеев Е. Е. 1972 г. р.",Локальный,4,,,,2001-11-24,Верхневилюйский муниципальный район,2001,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
26,"1.2.1.                                              Пожары в зданиях,сооружениях, установках (в т.ч. магистральные газо -, нефте -, продуктопроводы) производственного назначения.","17.01.02г. в 00 час.25 мин.в Ленском районе, п.Пеледуй, произошел пожар в котельной. Котельная принадлежит Пеледуйскому ССРЗ. В результате пожара уничтожено 10 тонн нефти, повреждена крыша насосной станции, вышло из строя 2 сетевых насоса. Получил ожоги различной степени тяжести грЯремский -ст.мастер смены доставлен в больницу. Без тепла остались 140 семей, промзона, дет.сад, профилакторий, музыкальная школа, старое здание школы.  ",Региональный,,420,,,2002-01-17,Ленский муниципальный район,2002,Техногенные пожары
27,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"12.02.02 г. в 13ч.00 мин. в Нижнеколымском районе, п.Черский, прекращена подача электроэнергии от АО «Чукотэнерго», обесточены котельные. В 14ч.10 мин. подача электроэнергии подана на все объекты. После запуска котельных, котельную № 4 (сырая нефть) в рабочий режим ввести не удалось. Без тепла остались 30жилых домов, здания Сахателеком, больницы, школы, детсада ЖКХ .",Муниципальный,,,,,2002-02-12,Нижнеколымский муниципальный район,2002,Аварии в отопительный сезон
28,"1.2.1.                                              Пожары в зданиях,сооружениях, установках (в т.ч. магистральные газо -, нефте -, продуктопроводы) производственного назначения.","22.09.02г.  21 час.30 мин. в Таттинском районе, с.Баяга, произошел пожар в квартальной котельной. В результате пожара огнем котельная  уничтожено по всей площади.Без тепла остались контора местной администрации, дом культуры, почта, АТС, музшкола, ср.школа (240 учеников), мастерская школы, школьный музей (2 здания), гараж, начальная школа (84 ученика), спортзал, рынок. ",Региональный,,324,,,2002-09-22,Таттинский муниципальный район,2002,Техногенные пожары
29,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"28.11.02 в 15 час. 15 мин. в Алданском районе, п.Солнечный, из-за погодных условий произошло отключение электроэнергии подстанции № 5. Без электроэнергии остались котельные. В результате аварии без тепла остались 89 жилых дома, (2 300 чел.), детский сад, школа. 28.11.02.в 15ч. 45 мин. неисправность устранена, подана электроэнергия на все объекты",Федеральный,,2300,,,2002-11-28,Алданский муниципальный район,2002,Аварии в отопительный сезон
30,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"30.11.02г. в 18 час. 00 мин. в Вилюйском районе, п.Кысыл - Сыр, из-за неисправности остановлен паровой котел в котельной. В результате аварии 2 водовода и 2 спутника длинной 300 м. были разморожены. Без тепла остались 937 квартир, где проживают 1200 человек.",Федеральный,,1200,,,2002-11-30,Вилюйский муниципальный район,2002,Аварии в отопительный сезон
31,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"03.12.02г. в 18 час.24 мин. в Мирнинском районе, с.Таас - Юрях,  произведена аварийная остановка котельной. В результате аварии без тепла остались школа,амбулатория, хлебопекарня, детсад,почта, здание администрации, магазина, клуб, около 80 жилых индивидуальных домов. В селе проживает 615 жителей. ",Федеральный,,615,,,2002-12-03,Мирнинский муниципальный район,2002,Аварии в отопительный сезон
32,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"06.12.02г. в Ленском районе, г.Ленск,  из-за короткого замыкания силового кабеля в головной подстанции микрорайона «Мухтуя» были остановлены 4 котельные. В результате остановки котельных без тепла остались 11 жилых домов. 10.02.02г.  с02 ч30 мин в котельной ""Доярушка""прекращена подача воды по причине перемерзания водовода. Без тепла осталось 13 жилых домов ( 238 жильцов).",Региональный,,238,,,2002-12-06,Ленский муниципальный район,2002,Аварии в отопительный сезон
33,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"19.12.02 г. в 14час. 30 мин. в г.Якутске на ЯГРЭС произошло аварийное отключение ГТУ №3 по причине «низкий уровень в демпферном баке ТГ-3». По автоматической разгрузке отключилась  ВЛ –110 кВ Л -   № 101. В резульате аварии остались без энергоснабжения: г. Якутск и его пригороды, улусы: Амгинский, Чурапчинский, Горный, Хангаласский, Намский,  Мегино-Кангаласский,  Усть-Алданский, Таттинский, Томпонский. В работе осталась только Якутская ТЭЦ. В 16ч. 40мин подано напряжение на  объекты ГУП  «Водоканал».С 16час. 55мин. проводилось постепенное подключение  потребителей электроэнергии в г. Якутске.С 17ч. 20мин.подана электроэнергия в улусы: Горный, Хангаласский, Намский. В 18ч. 05мин подана электроэнергия до центров улусов: Амгинского, Чурапчинского, Мегино-Кангаласского,  Усть-Алданского, Таттинского, Томпонского. ",Муниципальный,,,,,2002-12-19,Городской округ Город Якутск,2002,Аварии в отопительный сезон
34,"1.2.1.                                              Пожары в зданиях,сооружениях, установках (в т.ч. магистральные газо -, нефте -, продуктопроводы) производственного назначения.","01.01.03г. Таттинский район, с.Туора - Кель, произошел пожар в котельной. В результате пожара котельная уничтожена полностью. Котельная отапливала жилых домов, среднюю и начальную школу, сельский дом культуры. Нарушена жизнедеятельность 13 чел., в т.ч. 4 детей. Пострадавшее население размещено по родственникам и знакомым. ",Муниципальный,,13,,,2003-01-01,Таттинский муниципальный район,2003,Техногенные пожары
35,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"01.01.03г. Кобяйский район, с.Кобяй , в результате утечки бытового газа погибла семья из 6 человек: гр.Сметанин В.Н. -1964 г.р., гр.Сметанина М.Д.- 1964 г.р., гр.Сметанин Н.В. -1982г.р., гр.Сметанина Е.В.- 1993 г.р., гр.Сметанин А.В. -2001 г.р. и гр.Эверстов А.И.- 1989 г.р.",Локальный,6/2,,,,2003-01-01,Кобяйский муниципальный район,2003,Аварии в отопительный сезон
36,3.1.4.                                              Отравление людей ,"02.01.03г. в Среднеколымском районе, с.Сватай, произошло отравление антифризом. В результате отравления  в ЦУБ  г.Среднеколымска были направлены самолетом 7 несовершенолетних жителей, из них двое скончались в пути. По данным емкость с антифризом была найдена одним из подростков в гараже коллективного хозяйства “Сватайский”. В результате отравления погибли 2 человека: гр. Тырылгин А.С.-17 лет и гр.Антипин В.В.-14 лет.  Пострадали 5 человек: гр.Колесов Д.Н.-17 лет, гр.Слепцов А.В.- 15 лет, гр.Павлов В.В.-15 лет, гр.Колесов С.Е.-14 лет, и гр.Оконешникова М.О.-17 лет.
",Локальный,2,5,,,2003-01-02,Среднеколымский муниципальный район,2003,Отравления
37,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","09.01.03г. в 05 час.05 мин. в  Мегино - Кангаласском районе, с.Техтюр, произошел пожар в средней школе. В результате пожара школа уничтожена огнем по всей площади. Пострадавших нет. Ущерб 250 000 рублей. Причина, виновник устанавливается, возбуждено уголовное дело",Локальный,,,,,2003-01-09,Мегино-Кангаласский муниципальный район,2003,Техногенные пожары
38,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","14.01.03г. в 09ч.10мин. в Алданском районе, п.Безымянный, по ул.Дорожная,7, произошел пожар частном доме. В результате пожара  огнем уничтожен дом по всей площади. На месте пожара погибли гр.Чуб А. М. -  1936 г.р. и гр.Чуб Г.А. - 1964 г.р. Причина пожара – НППБ при эксплуатации электронагрева-тельных приборов. Виновник, ущерб устанавливаются.",Локальный,2,,,,2003-01-14,Алданский муниципальный район,2003,Техногенные пожары
39,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","16.01.03г. в 07 час.14 мин. в Ленском районе, г.Ленск, по ул. Пролетарская, 55, произошел пожар в частном доме. В результате пожара уничтожена по всей площади стена и  крыша дома. На месте пожара погибли 2 человека: гр.Комаров С.А.-1957 г.р. и гр.Ермакова Л.А. -1962 г.р. Трое пострадавших в состоянии средней тяжести доставлены в ЦРБ. На месте пожара работает СОГ.",Локальный,2,3,,,2003-01-16,Ленский муниципальный район,2003,Техногенные пожары
40,1.1.7.                                         Аварии (катастрофы) на автодорогах (крупные дорожно - транспортные аварии и катастрофы),"18.01.03г. в 11час.30мин. в г.Якутске на 7 км Покровского тракта произошло столкновение автомобилей “Тойота-Спринтер” и “УАЗ-39629”. В результате ДТП в автомобиле “Тойота-Спринтер”погибли 3 человека, пострадали 3 человека (доставлены в Республиканскую больницу). Причина, виновник, ущерб устанавливаются.",Локальный,3,3,,,2003-01-18,Городской округ Город Якутск,2003,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
41,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения "," 23.01.03г. в 00час.06мин. в Алданском райое, г.Алдан, по улице Горького,70, произошел пожар в здании Районного военкомата. Здание приспособлено под жилые помещения (квартиры) и административные помещения Райвоенкомата. В результате пожара огнем уничтожено здание по всей площади. Погибших и пострадавших нет.Причина пожара - НППБ при эксплуатации бытового электроприбора, виновное лицо- квартиросъемщик. Материальный ущерб устанавливается.  ",Локальный,,,,,2003-01-23,Алданский муниципальный район,2003,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
42,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"29.01.03г. в 13 час.20 мин. в Усть - Янском районе, с.Казачье из-за повреждении теплотрассы автомашиной УРАЛ слита вода с 250м теплотрассы, 2 жилых домов, гаража, магазина, склада. В жилом доме (проживает 26 человек, из них 8 дети) имеет печное отопление, из 8-квартирного жилого дома 16 жильцов расселено по родственникам и знакомым. ",Муниципальный,,,,,2003-01-29,Усть-Янский муниципальный район,2003,Аварии в отопительный сезон
43,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","02.02.03г. в 02ч.54мин. в Мегино - Кангаласском районе, с.Ломтука, по  ул. Совхозная, 7, произошел пожар в жилом доме. Пострадали 3 человека: гр.Егоров А. -2001г.р., гр.Егоров А.Р.– 1935г.р. и гр.Дьячковская Е.А. – 1981г.р. Погибли 3 человека: гр.Адамова А. А. -1979г., гр.Андреева В. Н. – 1979г.р. и гр.Вешникова К. М. – 1988г.р. Причина пожара неосторожное обращение с огнем. ",Локальный,3,3,,,2003-02-02,Мегино-Кангаласский муниципальный район,2003,Техногенные пожары
44,"1.2.4.                                              Пожары на транспортных средствах ( в т.ч. железнодорожный, водный, втомобильный, воздушный транспорт) ","26.02.03г. в 10 час.00 мин. в В.Вилюйском районе,п.Балагат, в 20 км. от районного центра произошел  пожар в кунге автомашины «ЗИЛ» приспособленного под жилье. В результате пожара кунг огнем уничтожен по всей площади. На месте пожара обнаружено три трупа: гр.Касьянова А.В. - 1945 г.р., гр.Казакова М.В. - 1963 г.р. и гр.Михайлова М.Е.- 1960 г.р. Причина пожара неосторожное обращение с огнем в нетрезвом состоянии.                                                                                 ",Локальный,3,,,,2003-02-26,Вилюйский муниципальный район,2003,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
45,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","13.03.03г. в 04 час.01 мин. в г.Якутске, по улице Дзержинского,14, произошел пожар в здании ГУВД. В результате пожара здание уничтожена по всей площади. На месте пожара погибло 2 человека. Причина пожара ……….",Локальный,2,,,,2003-03-13,Городской округ Город Якутск,2003,Техногенные пожары
46,"1.1.8.                                              Транспортные катастрофы и аварии на мостах, переправах, в тоннелях, горных вырабатках, на железнодорожных переездах.","28.03.03г. в г.Якутске, на Маганском тракте в результате ДТП  произошло столкновение автобуса «Паз» с микроавтобусом. В результате пожара пострадало 5 человек из них 2 человека погибло. ",Локальный,2,5,,,2003-03-28,Городской округ Город Якутск,2003,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
47,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","07.04.03г. в 9 час. 10 мин. в Вилюйском районе, с.Сыдыбыл, произошел пожар в средней школе.   В результате пожара здание школы уничтожено по всей площади. Пострадало 61 человек, в т.ч. погибли 22 человека, получили травмы различной степени тяжести 14 человек.Причина пожара неосторожное обращение с огнем.Виновник, ущерб устанавливаются.",Региональный,22,61,,,2003-04-07,Вилюйский муниципальный район,2003,Техногенные пожары
