№ п/п,"ЧС по характеру и виду источника возникновения, в соответствии с перечнем","Дата, субъект РФ, место, краткое описание чрезвычайной ситуации, причина возникновения ЧС",Уровень ЧС,Количество погибших,Количество пострадавших,Количество пострадавших (в том числе - детей),Количество спасенных,дата введения,район,Год,Тип ЧС
247,"2.5.1  Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель","По данным ЕДДС Хангаласского района 08.06.2013 года из-за обильных осадков произошло подтопление 17 жилых домов в г.Покровск (из них 25 квартир муниципального жилого фонда, 6 домов частный жилой сектор). Распоряжением № 91 от 08.06.2013 г. главой МО «г. Покровск» - введен режим ЧС.
09.06.2013 г. издано Распоряжение № 92 от 09.06.2013г. главой МО «г. Покровск» - «О снятии режима Чрезвычайной Ситуации на территории МО «г. Покровск».
",Муниципальный,,,,,2013-06-08,Хангаласский муниципальный район,2013,Летне-осенний паводок
248,"2.5.1  Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель  ","11.06.2013 Указом Президента РС(Я) от 11.06.2013 г. №2100/А веден режим ЧС на территории Амгинского, Мегино-Кангаласского, Таттинского районов в связи с повышением уровня воды на реках Суола, Татта, Крестях, Халбы, Тиэрэ вследствие ливневых дождей ",Региональный,,256,94.0,,2013-06-11,Амгинский муниципальный район,2013,Летне-осенний паводок
249,"2.6.1.Лесные пожары, торфя­ные пожары, пожары на оленьих пастбищах",Указом Президента с 13 июня 2013 года №2102 введен режим ЧС в лесах Региональныйионального характера на всей территории РС (Я).,Региональный,,,,,2013-06-13,Республики Саха (Якутия),2013,Летне-осенний паводок
250,"2.5.1  Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель  ","Указом Президента РС (Я) от 29 июня 2013 года №2191 объявлен режим ЧС на территориях Верхоянского, Момского, Оймяконского улусов (районов) Республики Саха (Якутия) введен режим «Чрезвычайная ситуация» Региональныйионального характера, в связи с прохождением дождевого паводка.",Региональный,,250,,,2013-06-29,Оймяконский муниципальный район,2013,Летне-осенний паводок
251,"2.5.1  Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель","Распоряжением № 596 от 30 июня 2013г. и.о. 1 заместителя главы МР «Усть-Алданский улус (район)» Е.В. Павлова введен режим «Чрезвычайная ситуация» на территории МО «Баягантайский наслег», «Тит-Арынский наслег», «Бярийинский наслег», «Тюляхский наслег». (подъём уровня воды-сильные и продолжительные дождевые осадки)",Муниципальный,,,,,2013-06-30,Усть-Алданский муниципальный район,2013,Летне-осенний паводок
252,"1.1.5. - 1.1.6. Авиационные и ракетно-космические  катастрофы и аварии в аэропортах, на стартовых площадках и в населенных пунк­тах и вне аэропортов, стартовых площадок и населенных пунктов","Со 2 июля 2013 г. распоряжением И.о. главы МО ""Усть-Янский район"" №321-ОД введен режим ЧС в целях проведения поисково-спасательных работ и ликвидации последствий авиационной катастрофы с в/с Ми-8 б/н 22657 ОАО ""Полярные авиалинии""",Муниципальный,24 и 10,4 и 1,,,2013-07-02,Усть-Янский муниципальный район,2013,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
253,"2.5.1  Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель","Распоряжением Главы МО «Оймяконский район» от 23 июля 2013 года №267 введен режим ЧС. Оймяконское звено ЯТПРС ЧС переведено в режим функционирования «ЧРЕЗВЫЧАЙНАЯ СИТУАЦИЯ» в связи с подтоплением п. Усть-Нера и размывом ФАД ""Колыма"".",Межмуниципальный,,,,,2013-07-23,Оймяконский муниципальный район,2013,Летне-осенний паводок
254,"2.5.1  Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель",Распоряжением и.о. Главы МО «Верхоянский район» от 24 июля 2013 года №714-РА введен режим ЧС в связи с подтоплением с. Суордах.,Межмуниципальный,,54,17.0,,2013-07-24,Верхоянский муниципальный район,2013,Летне-осенний паводок
255,"2.5.1  Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель",Распоряжением Главы МР «Амгинский улус (район)» №514 от 01.08.2013г. на территории Амгинского районав связи с прохождением дождевого паводка  введен режим ЧС. ,Межмуниципальный,,,,,2013-08-01,Амгинский муниципальный район,2013,Летне-осенний паводок
256,"2.5.1  Высокие уровни воды (половодье, зажор, затор, дождевой паводок), сель","Указом Президента РС(Я) №2200/А от 08.08.2013 года на территории 5 районов (Верхоянский, Момский, Оймяконский, Амгинский, Чурапчинский) введен режим «Чрезвычайная ситуация» Региональныйионального характера, в связи с прохождением дождевого паводка.",Региональный,,,,,2013-08-08,Верхоянский муниципальный район,2013,Летне-осенний паводок
