iter	Quantile:alpha=0.95
0	18.33029895
1	18.31023566
2	18.29042032
3	18.27437252
4	18.25463205
5	18.23598764
6	18.21547704
7	18.19829922
8	18.18115945
9	18.16428211
10	18.14458086
11	18.12621134
12	18.1059444
13	18.08751678
14	18.06822212
15	18.04949803
16	18.02938446
17	18.0142376
18	17.99815198
19	17.97836385
20	17.95954571
21	17.9433625
22	17.92494491
23	17.90706686
24	17.89191934
25	17.87355671
26	17.8571928
27	17.83962594
28	17.8239711
29	17.8068353
30	17.78936121
31	17.77317526
32	17.7574537
33	17.7413375
34	17.72634942
35	17.7105437
36	17.69348822
37	17.67482207
38	17.66055119
39	17.64427622
40	17.62664344
41	17.6093951
42	17.59392875
43	17.57492987
44	17.55838395
45	17.54270076
46	17.52527614
47	17.51020474
48	17.49576884
49	17.48156854
50	17.46446148
51	17.44910879
52	17.43175942
53	17.41893055
54	17.40178205
55	17.3853161
56	17.36756279
57	17.35365384
58	17.33966892
59	17.3216741
60	17.30598015
61	17.2915191
62	17.27740233
63	17.26086788
64	17.24549078
65	17.22973195
66	17.21361227
67	17.19778989
68	17.18288711
69	17.16857897
70	17.15397825
71	17.13707266
72	17.12115823
73	17.10694195
74	17.09285968
75	17.07648244
76	17.06087658
77	17.0417505
78	17.0230157
79	17.00925366
80	16.99306783
81	16.97718464
82	16.96183388
83	16.94430558
84	16.93339734
85	16.92013011
86	16.90323263
87	16.88713765
88	16.87091177
89	16.85849699
90	16.84312313
91	16.82738435
92	16.81331429
93	16.79644405
94	16.78013343
95	16.76566524
96	16.74907872
97	16.73319998
98	16.71931769
99	16.70553496
100	16.69204987
101	16.67616945
102	16.66039086
103	16.64616314
104	16.63180402
105	16.61637466
106	16.59986218
107	16.5836483
108	16.56896707
109	16.55411867
110	16.54012762
111	16.52534757
112	16.51040881
113	16.49474356
114	16.48393754
115	16.47015557
116	16.45493779
117	16.44087803
118	16.42520164
119	16.41122752
120	16.39443689
121	16.37996347
122	16.36484001
123	16.35380032
124	16.33958761
125	16.32281903
126	16.30981276
127	16.29541863
128	16.28276861
129	16.26813865
130	16.25313712
131	16.23889756
132	16.22389971
133	16.21014299
134	16.19705397
135	16.18375222
136	16.16765983
137	16.15450245
138	16.14074847
139	16.12534094
140	16.11289562
141	16.10136706
142	16.08582199
143	16.07159564
144	16.05665957
145	16.04369333
146	16.03059457
147	16.01703526
148	16.00425483
149	15.99070811
150	15.97599172
151	15.96193839
152	15.94781632
153	15.93616877
154	15.92188511
155	15.90831417
156	15.89494858
157	15.88047538
158	15.86622842
159	15.85543972
160	15.84244954
161	15.82833293
162	15.81651829
163	15.80405234
164	15.7897788
165	15.77534631
166	15.76051458
167	15.74941885
168	15.73520616
169	15.72035006
170	15.70649011
171	15.69269427
172	15.67812411
173	15.6640647
174	15.65127297
175	15.63962765
176	15.62835987
177	15.61660786
178	15.60476113
179	15.58910317
180	15.57758023
181	15.56590746
182	15.55346686
183	15.53915663
184	15.52467757
185	15.51190722
186	15.49923975
187	15.48694119
188	15.47429618
189	15.46253151
190	15.44878952
191	15.43709322
192	15.42502751
193	15.41074203
194	15.39897344
195	15.38657284
196	15.37459838
197	15.36448738
198	15.35148629
199	15.33966457
200	15.32754351
201	15.31516334
202	15.30175311
203	15.28952056
204	15.27889086
205	15.26643922
206	15.25604662
207	15.24318948
208	15.23143657
209	15.22090309
210	15.20723227
211	15.19448393
212	15.18506884
213	15.1714051
214	15.15972358
215	15.1479695
216	15.13483213
217	15.12182417
218	15.11120362
219	15.09922585
220	15.08858946
221	15.07666047
222	15.06649803
223	15.05418362
224	15.04274524
225	15.03230704
226	15.02077827
227	15.00869201
228	14.99783992
229	14.98709729
230	14.97498827
231	14.96260861
232	14.95106427
233	14.93956373
234	14.93030346
235	14.92209877
236	14.91129717
237	14.89994815
238	14.88784181
239	14.87675667
240	14.86415466
241	14.85083665
242	14.84232503
243	14.83157985
244	14.81963252
245	14.80899289
246	14.79725447
247	14.78558679
248	14.77355
249	14.762157
250	14.75154419
251	14.74164169
252	14.73009698
253	14.71922021
254	14.70739315
255	14.69885698
256	14.6871827
257	14.6759021
258	14.66737862
259	14.65667099
260	14.64479876
261	14.63497592
262	14.62236959
263	14.61280245
264	14.60397384
265	14.5919253
266	14.58120298
267	14.57262935
268	14.56318249
269	14.55442381
270	14.54276819
271	14.53679737
272	14.52443872
273	14.51283571
274	14.50331296
275	14.49266525
276	14.48005564
277	14.46845807
278	14.45793757
279	14.44773501
280	14.43716988
281	14.42750274
282	14.41873676
283	14.40713318
284	14.39565104
285	14.38487771
286	14.37408854
287	14.36442456
288	14.35340589
289	14.3410998
290	14.32980185
291	14.31950589
292	14.31058586
293	14.29986339
294	14.28848774
295	14.27701875
296	14.26482589
297	14.25462774
298	14.24475254
299	14.23349613
300	14.22377998
301	14.21334104
302	14.20445925
303	14.1927885
304	14.18106829
305	14.17169105
