iter	Quantile:alpha=0.95
306	14.16275646
307	14.15407617
308	14.14409207
309	14.13371375
310	14.12425408
311	14.11431145
312	14.10436946
313	14.09576841
314	14.08437704
315	14.07421348
316	14.06310551
317	14.05142539
318	14.03979352
319	14.0310537
320	14.01992649
321	14.01307219
322	14.00276153
323	13.99278744
324	13.98359653
325	13.97268464
326	13.96388788
327	13.95407242
328	13.94388814
329	13.93486017
330	13.92644686
331	13.91685627
332	13.90608553
333	13.89497918
334	13.88407072
335	13.87218954
336	13.86189761
337	13.85149896
338	13.84316463
339	13.83309023
340	13.82348689
341	13.81324262
342	13.80411697
343	13.79395393
344	13.78501232
345	13.77630297
346	13.76724673
347	13.75694418
348	13.74785986
349	13.73722258
350	13.72744845
351	13.71768373
352	13.70764593
353	13.69708776
354	13.68847865
355	13.67937284
356	13.6700738
357	13.65934719
358	13.64965442
359	13.64024582
360	13.63095311
361	13.62109065
362	13.61332157
363	13.60602851
364	13.60004485
365	13.58978077
366	13.58009135
367	13.5706176
368	13.5610249
369	13.55083527
370	13.53970265
371	13.53027925
372	13.5225767
373	13.51289391
374	13.50344954
375	13.49411746
376	13.48415568
377	13.47499449
378	13.46571271
379	13.45883855
380	13.45170066
381	13.44434591
382	13.43377518
383	13.42524498
384	13.41723075
385	13.40765129
386	13.39980651
387	13.39067859
388	13.38051003
389	13.37193157
390	13.36190742
391	13.35165906
392	13.34144548
393	13.33402646
394	13.3270488
395	13.3181926
